reaction_id,press_dependence,class,rmg_value,Unnamed: 0
CC(=C)C_m1.CC=[CH]_m2>>CC(=C)[CH2]_m2.CC=C_m1,,abstraction,,
CCCCCC(OO)[CH2]_m2>>CCCCCC1CO1_m1.[OH]_m2,,,,
[CH2]_m3.C#C[O]_m2>>[C-]#[O+]_m1.[CH]=C_m2,,,0.002968904869615711,667.0
[CH]=O_m2.[CH2]C#C_m2>>[C]=O_m3.CC#C_m1,,abstraction,,
CCCCCC(CO[O])OO_m2>>CC[CH]CCC(COO)OO_m2,,,,
CCC=C_m1.[O]OC(C)C_m2>>C[CH]C=C_m2.OOC(C)C_m1,,abstraction,,
C[CH]C=C_m2.[CH3]_m2>>C=CC(C)C_m1,falloff,,,
O=C=C(O)[CH]O_m2.[CH2]CCCOO_m2>>O=C=C(O)C=O_m1.CCCCOO_m1,,abstraction,1.973365528077075e-07,2381.0
CC(=C)C_m1.C[C]=C_m2>>CC(=C)[CH2]_m2.CC=C_m1,,abstraction,,
OOCCC(O[O])C_m2>>CC(OO)CC=O_m1.[OH]_m2,,,,
[O]C=O_m2.[CH]=CCC_m2>>O=C=O_m1.C=CCC_m1,,abstraction,1.992360225805014e-09,3176.0
CCOO_m1.[CH2]O[O]_m3>>CCO[O]_m2.CO[O]_m2,,abstraction,4.9094486052537e-05,
CC(=O)OO[CH]O_m2.[CH]=C[CH]C_m3>>CC(=O)OOC=O_m1.[CH2]C=CC_m2,,abstraction,3.259706867568803e-14,4414.0
CCCO[O]_m2.[CH2]C=C_m2>>CCC[O]_m2.[O]CC=C_m2,,,,
CCCC(C(OO)[CH]C)OO_m2>>CCCC1OC(C1OO)C_m1.[OH]_m2,,,,
[CH]C=C_m3.[CH]=C[CH]C_m3>>C#C[CH2]_m2.[CH2]C=CC_m2,,abstraction,8.613785427581536e-16,4583.0
CCCC(O[O])CC_m2.CO[O]_m2>>CCCC(CC)[O]_m2.C[O]_m2.[O][O]_m3,,,,
C=CCO_m1.C[O]_m2>>C=C[CH]O_m2.CO_m1,,abstraction,0.00030207439092502965,
OO_m1.[H]_m2>>O_m1.[OH]_m2,,,0.09628719126362788,253.0
[O]C=O_m2.[CH2]C=C[CH2]_m3>>O=C=O_m1.[CH2]C=CC_m2,,abstraction,4.764372760666493e-08,2637.0
CC(OO)[CH]CC_m2.[O][O]_m3>>CCC(C(OO)C)O[O]_m2,,addition,,
[O]OCC(C)C_m2.C[CH]C_m2>>[O]CC(C)C_m2.CC([O])C_m2,,,,
O[O]_m2.[H]_m2>>[OH]_m2.[OH]_m2,,,9.931934610442198,18.0
OOC(C(OO)C)[CH2]_m2>>CC(C1CO1)OO_m1.[OH]_m2,,,,
C=O_m1.C=[CH]_m2>>[CH]=O_m2.C=C_m1,,abstraction,0.10331545504519887,246.0
[O]O_m2.C=C[CH]O_m2>>[O][O]_m3.C=CCO_m1,,abstraction,0.3910066995231773,
C=[C]C_m2.C[CH]CCOO_m2>>C#CC_m1.CCCCOO_m1,,abstraction,0.002563657436077316,688.0
CCC(C(OO)CC)O[O]_m2>>CCC(C(OO)C[CH2])OO_m2,,migration,,
OCC1CCO1_m1.[O]_m3>>C=C_m1.OC[C]=O_m2.[OH]_m2,,,,
C[CH2]_m2.[CH2]O[O]_m3>>C=C_m1.CO[O]_m2,,abstraction,6.089364278234901e-07,2208.0
C=C[CH]O_m2.[H]_m2>>CC=CO_m1,,,0.0013762593337758036,
[CH2]C(OO)CC_m2.[O][O]_m3>>[O]OCC(OO)CC_m2,,addition,,
[CH2]C[CH2]_m3.[C]#C_m2>>[CH2]C=C_m2.C#C_m1,,abstraction,0.00039861436440198194,985.0
[CH2]C=CC_m2.[CH]C=O_m3>>C=CC=C_m1.C=C[O]_m2,,abstraction,0.00913251351603125,517.0
[O]CC(=O)C=O_m2.O=C1[C]=CC1_m2>>O=CC(=O)C=O_m1.O=C1C=CC1_m1,,abstraction,1.3736805664772827e-12,4096.0
OOCC[C](COO)C_m2>>OOCCC1(C)CO1_m1.[OH]_m2,,,,
C[O]_m2.C=C[C]=O_m2>>C=O_m1.C=CC=O_m1,,abstraction,0.0011733562498118116,
CC(=O)OO[CH]O_m2.C[CH]CC_m2>>CC(=O)OOC=O_m1.CCCC_m1,,abstraction,2.1456779552523773e-10,3500.0
C[C]=O_m2.C=C[CH]CO[O]_m3>>C=C=O_m1.CC=CCO[O]_m2,,abstraction,1.4203687590946618e-12,4093.0
C=C(O)[CH]O_m2.[CH2]C(=O)C=O_m2>>C=C(O)C=O_m1.C=C(O)C=O_m1,,abstraction,5.567184135326325e-10,3359.0
[CH2]C(C(C)C)O_m2.[O][O]_m3>>[O]OCC(C(C)C)O_m2,,addition,,
CC(OO)C[CH]C_m2>>CC1CC(O1)C_m1.[OH]_m2,,,,
CCCC_m1.[O]_m3>>CCC[CH2]_m2.[OH]_m2,,abstraction,0.2728279368344685,163.0
OOC(C[CH]C(OO)CC)C_m2>>CC(OO)CC=CCC_m1.O[O]_m2,,,,
[O]OCCCCC(OO)C_m2>>CC(OO)CCC=C_m1.O[O]_m2,,,,
O=C[CH]C=CO_m2.C#C[CH2]_m2>>O=CC=CC=O_m1.C#CC_m1,,abstraction,2.8523639607364745e-08,2723.0
C[C]=O_m2.C=O_m1>>CC(=O)C[O]_m2,,addition,,
[O]CC=CC=O_m2.C[CH]CCOO_m2>>O=CC=CC=O_m1.CCCCOO_m1,,abstraction,0.0015187356292326035,771.0
CCC_m1.[CH2]O[O]_m3>>[CH2]CC_m2.CO[O]_m2,,abstraction,6.021239103601842e-05,
OOC(C(OO)([CH2])C)C_m2>>CC(C1(C)CO1)OO_m1.[OH]_m2,,,,
C=C(O)[CH]O_m2.C=[C]C_m2>>C=C(O)C=O_m1.C=CC_m1,,abstraction,4.816492304606283e-12,3964.0
O=C[C](O)C=O_m2.C=C[CH]CO[O]_m3>>O=CC(=O)C=O_m1.C=CCCO[O]_m2,,abstraction,3.080128032071279e-14,4417.0
