reaction_id,q1h_idx,q2_idx,q1_idx,q2h_idx
[O]O_m2.[O]C1C(=O)OOC=1O_m2>>[O][O]_m3.O=C1OOC(O)C1=O_m1,2,6,1,8
C=CCC_m1.[O]_m3>>[CH2]C=CC_m2.[OH]_m2,8,0,4,1
OO_m1.[C]#C_m2>>[O]O_m2.C#C_m1,2,0,0,3
[O]O_m2.C[CH]CC_m2>>[O][O]_m3.CCCC_m1,2,1,1,8
CCCC_m1.[H]_m2>>[CH2]CCC_m2.[H][H]_m1,6,0,0,1
C[CH]CC_m2.[CH3]_m2>>C=CCC_m1.C_m1,7,0,0,4
C=CC_m1.[O]_m3>>[CH2]C=C_m2.[OH]_m2,8,0,4,1
[O]O_m2.[CH]1C=CCO1_m2>>[O][O]_m3.C1=COCC1_m1,2,3,1,10
OO_m1.[CH2]_m3>>[O]O_m2.[CH3]_m2,2,0,0,3
CCCCOO_m1.C#C[O]_m2>>CCCCO[O]_m2.C=C=O_m1,15,0,5,4
CCCC_m1.[H]_m2>>C[CH]CC_m2.[H][H]_m1,8,0,1,1
[CH2]C=CC_m2.CCCCO[O]_m2>>C=C=CC_m1.CCCCOO_m1,6,5,1,15
C[C]=O_m2.[H]_m2>>C=C=O_m1.[H][H]_m1,5,0,0,1
C=CO_m1.[CH]=C_m2>>C=C[O]_m2.C=C_m1,6,0,2,3
C=[C]C_m2.C=C[O]_m2>>C=C=C_m1.C=CO_m1,7,2,2,6
[O]C=O_m2.[CH2]C=CC_m2>>O=C=O_m1.CC=CC_m1,3,0,1,6
[O]C=O_m2.[CH2]CCC_m2>>O=C=O_m1.CCCC_m1,3,0,1,6
[O]O_m2.[CH2]CCC_m2>>[O][O]_m3.CCCC_m1,2,0,1,6
O=C[C](O)C=O_m2.[H]_m2>>O=C=C(O)C=O_m1.[H][H]_m1,8,0,1,1
OO_m1.[CH2]CCC_m2>>[O]O_m2.CCCC_m1,2,0,0,6
[CH2]CCC_m2.[O]C=O_m2>>C=CCC_m1.O=CO_m1,7,2,1,4
COO_m1.C#C[O]_m2>>CO[O]_m2.C=C=O_m1,6,0,2,4
C=C_m1.[CH2]_m3>>[CH]=C_m2.[CH3]_m2,3,0,0,3
C[CH]CC_m2.[CH]1C=CCO1_m2>>C=CCC_m1.C1=COCC1_m1,7,3,0,10
[O]CC(=O)C=O_m2.[H]_m2>>O=CC(=O)C=O_m1.[H][H]_m1,7,0,1,1
CC=O_m1.C[CH]CC_m2>>C=C[O]_m2.CCCC_m1,5,1,0,8
C#C[CH]C_m2.CCCCO[O]_m2>>C#CC=C_m1.CCCCOO_m1,8,5,3,15
C1=COCC1_m1.[CH2]C=CC_m2>>[CH]1C=CCO1_m2.CC=CC_m1,10,0,3,6
[O]O_m2.[CH2]C=C_m2>>[O][O]_m3.C=CC_m1,2,4,1,8
[O]O_m2.[H]_m2>>[O][O]_m3.[H][H]_m1,2,0,1,1
[CH3]_m2.[O]_m3>>[CH2]_m3.[OH]_m2,3,0,0,1
C[CH]C_m2.C=C[O]_m2>>C=CC_m1.CC=O_m1,6,0,0,5
[CH2]C[CH2]_m3.[CH3]_m2>>[CH2]C=C_m2.C_m1,8,0,3,4
C=[C]C_m2.C=C[O]_m2>>C#CC_m1.CC=O_m1,4,0,0,5
C[CH]C_m2.C=C[CH]CO[O]_m3>>C=CC_m1.CC=CCO[O]_m2,6,0,0,8
[CH]C=C_m3.[CH]=C=C=C_m2>>C#C[CH2]_m2.C=C=C=C_m1,4,0,1,5
CC_m1.[O]O_m2>>C[CH2]_m2.OO_m1,4,0,1,2
C=C=C_m1.[O]_m3>>C#C[CH2]_m2.[OH]_m2,4,0,0,1
C=O_m1.C[CH]CC_m2>>[CH]=O_m2.CCCC_m1,3,1,0,8
CCCC_m1.[OH]_m2>>C[CH]CC_m2.O_m1,8,0,1,2
C=CO_m1.[CH2]O_m2>>C=C[O]_m2.CO_m1,6,0,2,4
[CH]=C_m2.[H]_m2>>C#C_m1.[H][H]_m1,4,0,1,1
C=[C]C_m2.[CH]=C=C=C_m2>>C#CC_m1.C=C=C=C_m1,4,0,0,5
[O]C=O_m2.C=[C]C_m2>>O=C=O_m1.C=CC_m1,3,1,1,5
[CH]=O_m2.[O]O_m2>>[C-]#[O+]_m1.OO_m1,1,0,0,2
CCCCOO_m1.[CH2]CC=C_m2>>C[CH]CCOO_m2.C=CCC_m1,10,0,1,11
C[CH]C_m2.O=[C]CC=O_m2>>C=CC_m1.O=CCC=O_m1,6,1,0,5
C[CH]CC_m2.[CH]1C=CCO1_m2>>CC=CC_m1.C1=COCC1_m1,9,3,2,10
C=C=C_m1.[CH2]CCCOO_m2>>C#C[CH2]_m2.CCCCOO_m1,4,0,0,8
C=C=CC_m1.C=C[O]_m2>>[CH2]C#CC_m2.CC=O_m1,6,0,4,5
[CH2]CC_m2.O=[C]CC=O_m2>>C=CC_m1.O=CCC=O_m1,6,1,1,5
COO_m1.[CH2]CCC_m2>>CO[O]_m2.CCCC_m1,6,0,2,6
CC=CC_m1.[CH2]CC=C_m2>>[CH2]C=CC_m2.C=CCC_m1,6,0,0,11
CC=O_m1.[CH2]O_m2>>C=C[O]_m2.CO_m1,5,0,0,4
[CH2]CCC_m2.[O][O]_m3>>C=CCC_m1.[O]O_m2,7,1,1,2
CC=O_m1.C=C[O]_m2>>C[C]=O_m2.CC=O_m1,6,0,1,5
[CH]=O_m2.[CH2]CCC_m2>>[C-]#[O+]_m1.CCCC_m1,1,0,0,6
[O]C=O_m2.C[C]=O_m2>>O=C=O_m1.CC=O_m1,3,1,1,6
CC=O_m1.[CH2]CCC_m2>>C=C[O]_m2.CCCC_m1,5,0,0,6
