reaction_id,exception
[O][O]_m3.O=CC=CC=O_m1>>[O]C=CC(C=O)O[O]_m3,
[C-]#[O+]_m1.C[C]=O_m2>>O=[C]CC=O_m2,
[CH2]_m3.[C]#C_m2>>C#C[CH2]_m2,
[CH]=O_m2.[CH2]_m3>>C=C[O]_m2,
[CH2]_m1.[CH2]CC_m2>>[CH2]CCC_m2,
[CH2]_m3.C[CH2]_m2>>[CH2]CC_m2,
[CH2]C(=O)COO_m2>>O=C1COC1_m1.[OH]_m2,
[CH2]_m1.CC=O_m1>>CC1CO1_m1,
OO_m1>>[OH]_m2.[OH]_m2,
CCCCO[O]_m2>>[O]O_m2.C=CCC_m1,
C=C=O_m1.CC(=O)C(O)=C[O]_m2>>CC(=O)[C](C=O)OCC=O_m2,
[H]_m2.[C]_m3>>[CH]_m2,
[CH2]_m1.C_m1>>CC_m1,
C=C_m1.CC=O_m1>>CC1CCO1_m1,
[CH2]_m3.[CH3]_m2>>C[CH2]_m2,
[CH2]_m1.[O]OCCCOO_m2>>CC(CCOO)O[O]_m2,
[H]_m2.[CH]=O_m2>>C=O_m1,
C=C_m1>>[H][H]_m1.[C]=C_m1,
[CH2]C=C_m2.[C-]#[O+]_m1>>[CH2]C=CC=O_m2,
[CH2]CCOO_m2.[CH2]_m1>>[CH2]CC(C)OO_m2,
[C-]#[O+]_m1.[CH]=C_m2>>[CH]=CC=O_m2,
[O]_m3.[C-]#[O+]_m1>>O=C=O_m1,
[H][H]_m1.[CH2]_m1>>C_m1,
C=C_m1.CC=O_m1>>CC1CCO1_m1,
[H]_m2.[CH]_m2>>[CH2]_m1,
[CH]=O_m2.[CH]C=C_m3>>[CH2]C=CC=O_m2,
[CH2]_m3.[CH2]O_m2>>[CH2]CO_m2,
[OH]_m2.[CH2]_m3>>[CH2]O_m2,
C=[C]C(=C)O[O]_m3>>O=O_m1.C=C=C=C_m1,
CCC(C)O[O]_m2>>[O]O_m2.C=CCC_m1,
[H]_m2.[O]_m3>>[OH]_m2,
[CH2]CCC_m2.[H]_m2>>CCCC_m1,
[C-]#[O+]_m1.C=CO_m1>>C=C(O)C=O_m1,
CC([O])CC=O_m2.[OH]_m2>>CC(CC=O)OO_m1,
[CH]=CC=O_m2.[CH2]O[O]_m3>>[O]OCC=CC=O_m2,
[O]_m3.[CH3]_m2>>C[O]_m2,
[C-]#[O+]_m1.C=C=CO[O]_m2>>C=C=C(C=O)O[O]_m2,
CC=O_m1>>[C-]#[O+]_m1.C_m1,
C[CH]C_m2.[CH2]_m1>>C[CH]CC_m2,
