reaction_id,x_idx,y_idx,xy_idx_x,xy_idx_y
[CH2]_m3.C#C_m1>>[CH]C=C_m3,0,1,3,2
[O]O_m2.C=CC=C_m1>>[CH2]C(C=C)OO_m2,0,1,6,3
C=C[O]_m2.O=C=O_m1>>[O]C(=O)CC=O_m2,0,1,3,1
[CH2]C=CCC_m2.C=O_m1>>CCC=CCC[O]_m2,0,0,4,5
O=C[CH]C=CO_m2.[O][O]_m3>>[O]OC(O)C=CC=O_m2,5,1,2,1
[H]_m2.[O][O]_m3>>[O]O_m2,0,1,2,1
[CH]=O_m2.C=C=O_m1>>O=[C]CC=O_m2,0,0,3,2
[CH2]C(=C)O_m2.[O][O]_m3>>C=C(O)CO[O]_m2,4,1,3,4
C#C[CH2]_m2.C=C(O)C=O_m1>>C#CCC([O])C(=C)O_m2,2,3,2,3
[CH3]_m2.O=CC=CC=O_m1>>COC=CC=C[O]_m2,0,5,0,1
[CH2]C=CC=O_m2.C=O_m1>>[O]CCC=CC=O_m2,0,0,2,1
[CH2]C(=O)C(O)=CO_m2.[CH2][C]=O_m3>>[CH2]C(=O)CC(=O)C(O)=CO_m2,0,3,5,3
C=C[O]_m2.O=CO_m1>>[O]C(O)CC=O_m2,0,1,3,1
[CH3]_m2.C=C_m1>>[CH2]CC_m2,0,1,4,3
C=C[O]_m2.CC=O_m1>>CC([O])CC=O_m2,0,1,3,1
[H]_m2.[O]C=O_m2>>[O]C[O]_m3,0,1,3,1
C=C[O]_m2.[O][O]_m3>>[O]OCC=O_m2,0,1,2,1
[OH]_m2.C=CO_m1>>O[CH]CO_m2,0,0,4,3
[CH2]CCOO_m2.[O][O]_m3>>[O]OCCCOO_m2,0,1,2,1
C=C[O]_m2.O=C1OC(O)C1=O_m1>>O=CCO[C]1C(=O)OC1O_m2,0,6,2,3
[OH]_m2.C1C=COC=1_m1>>OC1C=C[CH]O1_m2,0,4,0,1
O=C=CC(=O)[CH]O_m2.[O][O]_m3>>[O]OC(O)C(=O)C=C=O_m2,5,1,2,1
[H]_m2.C#CC_m1>>C=[C]C_m2,0,0,3,0
[C-]#[O+]_m1.[O][C]=CO_m3>>O=[C]C(O)[C]=O_m3,0,2,1,2
[OH]_m2.C=C=C_m1>>[CH2]C(=C)O_m2,0,1,5,3
O=C=C(O)[CH]O_m2.[O][O]_m3>>[O]OC(O)C(O)=C=O_m2,4,1,2,1
[H]_m2.C=CCC_m1>>[CH2]CCC_m2,0,1,6,3
[CH3]_m2.[CH2]C=C[CH2]_m3>>[CH2]C=CCC_m2,0,5,6,5
C=C[O]_m2.O=CC(=O)C=O_m1>>[O]C(CC=O)C(=O)C=O_m2,0,4,2,1
C[CH2]_m2.C=C_m1>>[CH2]CCC_m2,1,1,4,3
[CH2]CC_m2.C=O_m1>>CCCC[O]_m2,0,0,2,3
C=C[O]_m2.O=C=C(O)C=O_m1>>[O]C(CC=O)=C(O)C=O_m2,0,1,2,1
[CH2]CCC_m2.[O][O]_m3>>CCCCO[O]_m2,0,1,3,4
[H]_m2.C=CCC_m1>>C[CH]CC_m2,0,0,5,0
[CH2]C=C_m2.CC=O_m1>>C=CCC(C)[O]_m2,4,1,2,3
[H]_m2.CC(=O)C(=O)C=O_m1>>CC(=O)C(=O)C[O]_m2,0,5,10,5
[CH2]C=C_m2.O=C=C(O)C=O_m1>>C=CCC([O])C(O)=C=O_m2,4,4,2,3
CC(=O)C([O])=CO_m2.C=O_m1>>CC(=O)C(=O)C(O)C[O]_m2,5,0,5,7
[H]_m2.C=CC=C_m1>>[CH2]C=CC_m2,0,0,8,5
C=C[O]_m2.CC(=O)C(=O)C=O_m1>>C[C](OCC=O)C(=O)C=O_m2,0,2,3,2
C=C(C)[O]_m2.[O][O]_m3>>CC(=O)CO[O]_m2,0,1,3,4
[H]_m2.CC(=O)C(=O)C=O_m1>>CC([O])C(=O)C=O_m2,0,1,10,1
[H]_m2.C=C=O_m1>>C=C[O]_m2,0,1,5,1
[H]_m2.C=C=C_m1>>[CH2]C=C_m2,0,1,5,3
C[CH]CCOO_m2.[O][O]_m3>>CC(CCOO)O[O]_m2,1,1,1,6
O=C[C](O)C=O_m2.[O][O]_m3>>[O]OC(O)(C=O)C=O_m2,2,1,2,1
[CH2]C=C_m2.O=CC(=O)C=O_m1>>C=CCC([O])(C=O)C=O_m2,4,2,2,3
