Unnamed: 0,species,species_id,path
0,H(20),[H]_m2,geoms/_b_H_d__m2.xyz
1,O(21),[O]_m3,geoms/_b_O_d__m3.xyz
2,OH(22),[OH]_m2,geoms/_b_OH_d__m2.xyz
3,H2(23),[H][H]_m1,geoms/_b_H_d__b_H_d__m1.xyz
4,H2O(24),O_m1,geoms/O_m1.xyz
5,Ar(25),[Ar]_m1,geoms/_b_Ar_d__m1.xyz
6,He(26),[He]_m1,geoms/_b_He_d__m1.xyz
7,HO2(27),[O]O_m2,geoms/_b_O_d_O_m2.xyz
8,H2O2(28),OO_m1,geoms/OO_m1.xyz
9,CO(29),[C-]#[O+]_m1,geoms/_b_C-_d__t__b_O+_d__m1.xyz
10,CO2(30),O=C=O_m1,geoms/O=C=O_m1.xyz
11,HCO(31),[CH]=O_m2,geoms/_b_CH_d_=O_m2.xyz
12,C(T)(32),[C]_m3,geoms/_b_C_d__m3.xyz
13,CH(33),[CH]_m2,geoms/_b_CH_d__m2.xyz
14,CH2(T)(34),[CH2]_m3,geoms/_b_CH2_d__m3.xyz
15,CH3(35),[CH3]_m2,geoms/_b_CH3_d__m2.xyz
16,CH2O(36),C=O_m1,geoms/C=O_m1.xyz
17,HCCO(37),C#C[O]_m2,geoms/C_t_C_b_O_d__m2.xyz
18,C2H(38),[C]#C_m2,geoms/_b_C_d__t_C_m2.xyz
19,C2H2(39),C#C_m1,geoms/C_t_C_m1.xyz
20,H2CC(40),[C]=C_m1,geoms/_b_C_d_=C_m1.xyz
21,CH2(S)(41),[CH2]_m1,geoms/_b_CH2_d__m1.xyz
22,CH3OH(42),CO_m1,geoms/CO_m1.xyz
23,CH3O(43),C[O]_m2,geoms/C_b_O_d__m2.xyz
24,CH2CO(44),C=C=O_m1,geoms/C=C=O_m1.xyz
25,C2H3(45),[CH]=C_m2,geoms/_b_CH_d_=C_m2.xyz
26,C2H4(46),C=C_m1,geoms/C=C_m1.xyz
27,CH4(47),C_m1,geoms/C_m1.xyz
28,C2H6(48),CC_m1,geoms/CC_m1.xyz
29,C2H5(49),C[CH2]_m2,geoms/C_b_CH2_d__m2.xyz
30,CH2OH(50),[CH2]O_m2,geoms/_b_CH2_d_O_m2.xyz
31,CH3CO(51),C[C]=O_m2,geoms/C_b_C_d_=O_m2.xyz
32,CH3CHO(52),CC=O_m1,geoms/CC=O_m1.xyz
33,N2,N#N_m1,geoms/N_t_N_m1.xyz
34,Ne,[Ne]_m1,geoms/_b_Ne_d__m1.xyz
35,butane(1),CCCC_m1,geoms/CCCC_m1.xyz
36,O2(2),[O][O]_m3,geoms/_b_O_d__b_O_d__m3.xyz
37,butR1(3),[CH2]CCC_m2,geoms/_b_CH2_d_CCC_m2.xyz
38,butR2(4),C[CH]CC_m2,geoms/C_b_CH_d_CC_m2.xyz
39,butROO1(5),CCCCO[O]_m2,geoms/CCCCO_b_O_d__m2.xyz
40,butROO2(6),CCC(C)O[O]_m2,geoms/CCC_p_C_q_O_b_O_d__m2.xyz
41,C4H9O2(7),C[CH]CCOO_m2,geoms/C_b_CH_d_CCOO_m2.xyz
42,C4H9O2(8),[CH2]CC(C)OO_m2,geoms/_b_CH2_d_CC_p_C_q_OO_m2.xyz
43,C4H9O4(9),CC(CCOO)O[O]_m2,geoms/CC_p_CCOO_q_O_b_O_d__m2.xyz
44,C4H9O4(10),CC(CCO[O])OO_m2,geoms/CC_p_CCO_b_O_d__q_OO_m2.xyz
45,C4H8O3(11),CC(=O)CCOO_m1,geoms/CC_p_=O_q_CCOO_m1.xyz
46,C4H9O4(12),C[C](CCOO)OO_m2,geoms/C_b_C_d__p_CCOO_q_OO_m2.xyz
47,C4H9O4(13),CC(C[CH]OO)OO_m2,geoms/CC_p_C_b_CH_d_OO_q_OO_m2.xyz
48,C4H8O3(14),CC(CC=O)OO_m1,geoms/CC_p_CC=O_q_OO_m1.xyz
49,C4H7O2(15),CC([O])CC=O_m2,geoms/CC_p__b_O_d__q_CC=O_m2.xyz
50,C4H7O2(16),CC(=O)CC[O]_m2,geoms/CC_p_=O_q_CC_b_O_d__m2.xyz
51,C3H5O(17),[CH2]C(C)=O_m2,geoms/_b_CH2_d_C_p_C_q_=O_m2.xyz
52,C2H3O(18),[CH2]C=O_m2,geoms/_b_CH2_d_C=O_m2.xyz
53,C3H4O2(19),O=CCC=O_m1,geoms/O=CCC=O_m1.xyz
54,C3H7(53),[CH2]CC_m2,geoms/_b_CH2_d_CC_m2.xyz
55,S(342),CCCO[O]_m2,geoms/CCCO_b_O_d__m2.xyz
56,S(119),CCO[O]_m2,geoms/CCO_b_O_d__m2.xyz
57,CH3O2(246),CO[O]_m2,geoms/CO_b_O_d__m2.xyz
58,S(366),[CH2]CCOO_m2,geoms/_b_CH2_d_CCOO_m2.xyz
59,C3H6(74),C=CC_m1,geoms/C=CC_m1.xyz
60,S(597),[O]OCCCOO_m2,geoms/_b_O_d_OCCCOO_m2.xyz
61,S(365),C[CH]COO_m2,geoms/C_b_CH_d_COO_m2.xyz
62,C4H8(68),C=CCC_m1,geoms/C=CCC_m1.xyz
63,S(346),[CH2]CCCOO_m2,geoms/_b_CH2_d_CCCOO_m2.xyz
64,S(450),[O]CCC=O_m2,geoms/_b_O_d_CCC=O_m2.xyz
65,S(449),[CH2]OCC=O_m2,geoms/_b_CH2_d_OCC=O_m2.xyz
66,CHO3(106),[O]OC=O_m2,geoms/_b_O_d_OC=O_m2.xyz
67,C2H5O(93),[CH2]CO_m2,geoms/_b_CH2_d_CO_m2.xyz
68,S(115),[O]OCC=O_m2,geoms/_b_O_d_OCC=O_m2.xyz
69,C3H6O(627),CC1CO1_m1,geoms/CC1CO1_m1.xyz
70,C4H8(73),CC=CC_m1,geoms/CC=CC_m1.xyz
71,C4H7(629),[CH2]C=CC_m2,geoms/_b_CH2_d_C=CC_m2.xyz
72,C4H8O(325),CC1CCO1_m1,geoms/CC1CCO1_m1.xyz
73,S(864),[O]OCCO_m2,geoms/_b_O_d_OCCO_m2.xyz
74,S(1041),C=CC(C)O[O]_m2,geoms/C=CC_p_C_q_O_b_O_d__m2.xyz
75,C2H4(63),[CH]C_m1,geoms/_b_CH_d_C_m1.xyz
76,S(1040),CC=CCO[O]_m2,geoms/CC=CCO_b_O_d__m2.xyz
77,S(395),CC(=O)CO[O]_m2,geoms/CC_p_=O_q_CO_b_O_d__m2.xyz
78,C4H8(632),C[C]CC_m1,geoms/C_b_C_d_CC_m1.xyz
79,C4H6(933),C=CC=C_m1,geoms/C=CC=C_m1.xyz
80,C3H6(616),C[C]C_m1,geoms/C_b_C_d_C_m1.xyz
81,C3H7(77),C[CH]C_m2,geoms/C_b_CH_d_C_m2.xyz
82,CH2O2(86),[CH2]O[O]_m3,geoms/_b_CH2_d_O_b_O_d__m3.xyz
83,C4H6(1429),C1=CCC1_m1,geoms/C1=CCC1_m1.xyz
84,S(1004),CC=CCC[O]_m2,geoms/CC=CCC_b_O_d__m2.xyz
85,S(1430),C1OO1_m1,geoms/C1OO1_m1.xyz
86,C3H6(69),[CH2]C[CH2]_m3,geoms/_b_CH2_d_C_b_CH2_d__m3.xyz
87,S(362),CC(C)O[O]_m2,geoms/CC_p_C_q_O_b_O_d__m2.xyz
88,S(1483),[CH2]C(=O)COO_m2,geoms/_b_CH2_d_C_p_=O_q_COO_m2.xyz
89,S(262),O=C1COC1_m1,geoms/O=C1COC1_m1.xyz
90,CH2O2(87),[O]C[O]_m3,geoms/_b_O_d_C_b_O_d__m3.xyz
91,S(1487),C=C(O)CO[O]_m2,geoms/C=C_p_O_q_CO_b_O_d__m2.xyz
92,S(1795),[O]OCC(=O)COO_m2,geoms/_b_O_d_OCC_p_=O_q_COO_m2.xyz
93,CH4O2(109),COO_m1,geoms/COO_m1.xyz
94,CHO2(83),[O]C=O_m2,geoms/_b_O_d_C=O_m2.xyz
95,CH2O2(100),O=CO_m1,geoms/O=CO_m1.xyz
96,S(321),C=CO[O]_m2,geoms/C=CO_b_O_d__m2.xyz
97,S(491),C[CH]OCC=O_m2,geoms/C_b_CH_d_OCC=O_m2.xyz
98,C4H6(929),[CH2]C=C[CH2]_m3,geoms/_b_CH2_d_C=C_b_CH2_d__m3.xyz
99,C2H3OH(67),C=CO_m1,geoms/C=CO_m1.xyz
100,S(541),C=C([O])CC=O_m2,geoms/C=C_p__b_O_d__q_CC=O_m2.xyz
101,S(1034),CC=CCC(C)[O]_m2,geoms/CC=CCC_p_C_q__b_O_d__m2.xyz
102,S(714),C=[C]OCC=O_m2,geoms/C=_b_C_d_OCC=O_m2.xyz
103,S(1036),C=CC(C)C(C)[O]_m2,geoms/C=CC_p_C_q_C_p_C_q__b_O_d__m2.xyz
104,S(1811),OC1=COC1_m1,geoms/OC1=COC1_m1.xyz
105,S(2068),[O]C(O)CC=O_m2,geoms/_b_O_d_C_p_O_q_CC=O_m2.xyz
106,S(2135),[CH2]C(O)=C[O]_m3,geoms/_b_CH2_d_C_p_O_q_=C_b_O_d__m3.xyz
107,S(1929),C=C(O)C=O_m1,geoms/C=C_p_O_q_C=O_m1.xyz
108,C4H7(480),[CH2]CC=C_m2,geoms/_b_CH2_d_CC=C_m2.xyz
109,C4H7(2260),[CH2]C1CC1_m2,geoms/_b_CH2_d_C1CC1_m2.xyz
