reaction_id,exception
[CH2]C=CC=O_m2>>[CH]1C=CCO1_m2,
[O]CC=CC[O]_m3>>C1=CCOOC1_m1,
[O]CC(=O)C=O_m2>>[O]C1=COOC1_m2,
[CH2]C=CO[CH2]_m3>>C=CC1CO1_m1,
O=C[CH]C=CO_m2>>OC1C=C[CH]O1_m2,
[O]OC(C=O)C=C=O_m2>>O=CC1[CH]C(=O)OO1_m2,
C[C](OCC=O)C(=O)C=O_m2>>CC(=O)C([O])(C=O)CC=O_m2,STREAM ioctl timeout
C=C=C(C)O[O]_m2>>CC1=[C]COO1_m2,
[O]OC(O)[C]=O_m3>>O=C1OOC1O_m1,
[CH2]C=C[CH2]_m3>>C1=CCC1_m1,
[O]OC(O)C(O)=C=O_m2>>O=C1OOC(O)[C]1O_m2,
O=C=C1CO1_m1>>O=C1CC1=O_m1,
[O]C[O]_m3>>C1OO1_m1,
[O]C(=O)C([O])C(=O)C=O_m3>>O=CC(=O)C1OOC1=O_m1,
CC([O])C(=O)C=O_m2>>CC1OOC=C1[O]_m2,
C=C(O[O])C(=O)C=O_m2>>C=C1OOC([O])C1=O_m2,
CC(=O)[C](C=O)OCC=O_m2>>CC(=O)C(=O)C([O])CC=O_m2,STREAM ioctl timeout
[O]C(CC=O)=C(O)C=O_m2>>O=CC1(O)O[CH]CC1=O_m2,
CC(=O)[C](C=O)OCC=O_m2>>CC([O])(CC=O)C(=O)C=O_m2,
[CH2][C](O)C=O_m3>>OC1=COC1_m1,
C#CC(=C)[O]_m2>>C=C1[C]=CO1_m2,Caught an unknown exception!
[O][C](C=O)C=C=O_m3>>O=CC1=CC(=O)O1_m1,
C=CC=C_m1>>C1=CCC1_m1,
[O]C=C(C=C=O)OCC=O_m2>>[O]C(CC=O)C(=O)C=C=O_m2,
C=CC(C)O[O]_m2>>CC1[CH]COO1_m2,
C#CC(=C)[O]_m2>>O=C1[C]=CC1_m2,
[O]C=C(C=O)OCC=O_m2>>[O]C(CC=O)C(=O)C=O_m2,
[O]OC(=O)C=C([O])C=O_m3>>O=CC(=O)C1OOC1=O_m1,
C=C=C(C=O)O[O]_m2>>O=CC1=[C]COO1_m2,
C=C([C]=O)OOC=O_m2>>C=C1OOC([O])C1=O_m2,
[CH2]C=CO[CH2]_m3>>C1=COCC1_m1,
C=C(O[O])C(=O)C=O_m2>>[CH2]C1(OO1)C(=O)C=O_m2,
C=CCO[O]_m2>>[CH]1COOC1_m2,
[CH]C=O_m3>>C1=CO1_m1,
[O]OC(=O)C(O)=CO_m2>>O=C1OOC(O)[C]1O_m2,
[O]C(C=C=O)=COCC=O_m2>>[O]C(C=O)(C=C=O)CC=O_m2,
[CH2]C([O])(O)O_m3>>OC1(O)CO1_m1,
C=C1[C]=COO1_m2>>C=C1OC1=C[O]_m2,
[CH]=C[CH]C_m3>>CC1C=C1_m1,
O=[C]C=CC=O_m2>>[O]C1=CC=CO1_m2,
[CH2]O[O]_m3>>C1OO1_m1,
[O]OC(O)C(=O)C=O_m2>>[O]C1OOC(O)C1=O_m2,
CC(=O)C(=O)C[O]_m2>>CC1OOCC=1[O]_m2,
C=C1OC1=O_m1>>O=C1CC1=O_m1,
C=CC(COO)O[O]_m2>>OOCC1[CH]COO1_m2,
