reaction_id,r_idx_h,r_idx_a,p_idx_h,p_idx_a
[CH2]C(=O)COO_m2>>C=C(O)CO[O]_m2,10,4,8,5
O=C=C=C(O)C=O_m1>>O=C=CC(=O)C=O_m1,7,2,7,4
[O][C](C=O)C=C=O_m3>>O=C=CC(O)=C=O_m1,7,0,8,5
[O]C(C=O)=CO_m2>>O=C=C(O)[CH]O_m2,6,0,7,1
[CH2]CCC_m2>>C[CH]CC_m2,7,0,7,1
CC(O)=CCOO_m1>>CC(=O)CCOO_m1,10,3,11,2
CCCO[O]_m2>>[CH2]CCOO_m2,7,4,11,0
C=C(O)CO[O]_m2>>CC(=O)CO[O]_m2,8,0,8,2
[O]C(C=O)=CO_m2>>O=C[C](O)C=O_m2,8,0,7,5
C#C[CH]C_m2>>[CH2]C#CC_m2,3,0,2,4
CC(CCOO)O[O]_m2>>CC(CCO[O])OO_m2,16,7,16,5
CC(C[CH]OO)OO_m2>>C[C](CCOO)OO_m2,12,3,14,1
CC(CCOO)O[O]_m2>>CC(C[CH]OO)OO_m2,15,7,16,3
CCC(C)O[O]_m2>>[CH2]CC(C)OO_m2,8,5,14,0
[O][C](C=O)C=C=O_m3>>O=C=C=C(O)C=O_m1,8,0,7,2
C[C]C_m1>>C=CC_m1,5,1,5,0
O=C=C(O)C=O_m1>>O=CC(=O)C=O_m1,6,1,6,3
[CH2]CCC_m2>>C[CH]CC_m2,7,0,7,1
[CH2]C=C[CH2]_m3>>C=CC=C_m1,10,3,10,2
[CH]=CC=O_m2>>[CH2]C=C=O_m2,6,0,2,4
[O]CC=CC=O_m2>>O=C[CH]C=CO_m2,7,0,10,5
CC(=O)C(=O)C[O]_m2>>CC(=O)C([O])=CO_m2,11,6,11,5
C[CH]C_m2>>[CH2]CC_m2,6,1,6,0
C[C]CC_m1>>C=CCC_m1,6,1,6,0
C=CO_m1>>CC=O_m1,6,0,5,2
CCCO[O]_m2>>C[CH]COO_m2,9,4,11,1
O=C=C[C](O)C=O_m2>>O=C=CC(=O)[CH]O_m2,8,6,9,4
O=C=CC(O)=C=O_m1>>O=C=CC(=O)C=O_m1,8,5,8,4
O=C=C(O)[CH]O_m2>>[O]C(C=O)=CO_m2,7,1,6,0
O=C=C(O)[CH]O_m2>>O=C[C](O)C=O_m2,8,1,6,5
C=CC(C)O[O]_m2>>[CH2]C(C=C)OO_m2,12,5,12,0
C=C(O)C(O)=C[O]_m2>>[CH2]C(=O)C(O)=CO_m2,9,6,11,4
C[C]CC_m1>>CC=CC_m1,8,1,7,2
C#C_m1>>[C]=C_m1,2,1,3,0
O=C[C](O)C=O_m2>>[O]CC(=O)C=O_m2,7,4,7,3
[CH2]O_m2>>C[O]_m2,4,0,4,1
CC(CCO[O])OO_m2>>C[C](CCOO)OO_m2,11,5,15,1
CC(CCO[O])OO_m2>>CC(C[CH]OO)OO_m2,15,5,15,3
O=C1OOC(O)[C]1O_m2>>[O]C1OOC(O)C1=O_m2,10,1,8,7
[CH2]CCC_m2>>C[CH]CC_m2,7,0,7,1
C=[C]C(O)=C=O_m2>>C=[C]C(=O)C=O_m2,8,4,8,3
[CH2]C(=C)O_m2>>C=C(C)[O]_m2,8,4,8,3
O=[C]C(O)[C]=O_m3>>O=C=C(O)C=O_m1,6,4,7,2
[CH]C=C_m3>>C=C=C_m1,4,0,4,1
O=[C]CC=C=O_m2>>O=[C]C=CC=O_m2,7,1,8,3
C=C([O])C(O)(C=O)OO_m2>>CC(=O)C(O)(C=O)O[O]_m2,13,0,11,8
C=[C]C_m2>>[CH2]C=C_m2,7,1,5,4
[CH2]CCOO_m2>>C[CH]COO_m2,8,0,8,1
[CH2][C](O)C=O_m3>>C=C(O)C=O_m1,9,6,9,4
[O][C](C=O)C=C=O_m3>>O=C=CC(=O)C=O_m1,9,6,9,0
[CH2]C(=O)COO_m2>>CC(=O)CO[O]_m2,10,0,8,5
[O]CC(=O)C=O_m2>>[O]C(C=O)=CO_m2,7,0,8,4
CC(=O)C([O])=CO_m2>>CC(=O)C(O)=C[O]_m2,11,4,10,6
[CH2]CCC_m2>>C[CH]CC_m2,7,0,7,1
[CH2]CCCOO_m2>>C[CH]CCOO_m2,9,0,9,1
C=C(O)C(O)=C[O]_m2>>CC(=O)C(O)=C[O]_m2,9,0,9,2
[O]C(CC=O)=C(O)C=O_m2>>[O]C(CC=O)C(=O)C=O_m2,12,1,9,6
[O]C1C(=O)OOC=1O_m2>>[O]C1OOC(=O)C=1O_m2,8,0,8,0
[CH]C_m1>>C=C_m1,5,0,3,1
[O][C]=CO_m3>>O=C=CO_m1,6,2,6,2
O=C(OO)C(O)=[C]O_m2>>O=C([CH]O)C(=O)OO_m2,9,6,3,0
C=C1OOC([O])=C1O_m2>>C=C1OOC([O])C1=O_m2,10,4,10,7
[CH]=C(O)C=O_m2>>[CH2]C(=O)C=O_m2,6,0,2,4
[O]OCC1CCOO1_m2>>OOCC1[CH]COO1_m2,12,0,9,4
OC1=COC1_m1>>O=C1COC1_m1,5,2,6,0
[CH2]C(=C)O_m2>>C=C(C)[O]_m2,8,4,8,3
O=C[C]=CC(=O)OO_m2>>[O]OC(=O)C=CC=O_m2,10,2,9,0
C=C[O]_m2>>C[C]=O_m2,5,0,5,1
C=CCCO[O]_m2>>C=C[CH]COO_m2,10,5,12,2
C=[C]C(=O)C=O_m2>>C=[C]C(O)=C=O_m2,8,3,8,4
O=O_m1>>[O][O]_m3,2,1,2,1
[O]OCC(O)O_m2>>OOC[C](O)O_m2,8,0,6,3
[O]C[O]_m3>>O=CO_m1,4,2,4,1
[O]C=C1CC(=O)OO1_m2>>O=C1C=C([CH]O)OO1_m2,10,0,10,2
[CH]=CCC_m2>>[CH2]C=CC_m2,7,0,2,4
[CH]=CCC_m2>>[CH2]CC=C_m2,10,0,10,0
[CH2]C1CCOO1_m2>>CC1[CH]COO1_m2,10,0,9,2
[CH2]CC=C_m2>>[CH2]C=CC_m2,7,0,10,4
[CH2]C(=O)C(O)=CO_m2>>CC(=O)C(O)=C[O]_m2,11,0,9,6
[CH2]C(=O)C=O_m2>>CC(=O)[C]=O_m2,7,0,7,3
C=CC[C]=O_m2>>[CH2]C=CC=O_m2,9,3,9,4
CCCCO[O]_m2>>C[CH]CCOO_m2,10,5,14,1
[CH2]C=C[CH2]_m3>>C=C=CC_m1,9,0,9,1
[CH2]C(=C)O_m2>>C=C(C)[O]_m2,8,4,8,3
O=CC1[CH]C(=O)OO1_m2>>[O]C=C1CC(=O)OO1_m2,10,3,10,2
[CH]=C[CH]C_m3>>C=CC=C_m1,9,0,5,3
[CH2]C[CH2]_m3>>C=CC_m1,8,4,8,1
C=C=C=C[O]_m2>>C#C[C]=CO_m2,6,4,7,0
[C]=CC=C_m1>>C#CC=C_m1,4,0,4,1
C=C(O)C(O)(C=O)O[O]_m2>>C=C([O])C(O)(C=O)OO_m2,11,8,13,2
[CH2][C]=O_m3>>[CH]C=O_m3,2,3,4,0
[CH]C=O_m3>>C=C=O_m1,4,0,4,1
[O]OC(=O)C(O)=CO_m2>>O=C([CH]O)C(=O)OO_m2,8,0,10,0
[O]C=O_m2>>O=[C]O_m2,3,2,3,1
CC(=O)C([O])=CO_m2>>[CH2]C(=O)C(O)=CO_m2,9,4,9,0
CC=CCO[O]_m2>>C=C[CH]COO_m2,8,5,12,0
[CH]=C[CH]C_m3>>[CH2]C=C[CH2]_m3,9,0,7,0
CC1OOCC=1[O]_m2>>CC1OOC=C1[O]_m2,11,1,10,4
CC(CCOO)O[O]_m2>>C[C](CCOO)OO_m2,11,7,16,1
CCCCO[O]_m2>>[CH2]CCCOO_m2,8,5,14,0
O=C1C=C([CH]O)OO1_m2>>O=CC1[CH]C(=O)OO1_m2,10,3,10,0
O=C(OO)C(O)=[C]O_m2>>[O]OC(=O)C(O)=CO_m2,8,6,9,0
[CH]=C=C1CO1_m2>>C=C=C1[CH]O1_m2,7,0,7,3
[CH]C=C=O_m3>>C=C=C=O_m1,5,0,5,1
[CH2][C]=O_m3>>C=C=O_m1,5,4,5,2
[O]OC(O)C(O)=C=O_m2>>[O]OC(O)C(=O)C=O_m2,10,6,10,5
C=C(O)C(O)(C=O)O[O]_m2>>CC(=O)C(O)(C=O)O[O]_m2,11,0,11,2
CC(=O)C(O)=C[O]_m2>>CC(=O)C(=O)C[O]_m2,10,5,11,4
CC(=O)C(O)=C[O]_m2>>CC([O])C(=O)C=O_m2,10,1,10,4
[C]=CC_m1>>C#CC_m1,3,0,3,1
[CH]=C[CH]C_m3>>C=C=CC_m1,6,0,5,1
