,reaction_id,rmg_value,class
0,[O]O_m2.[O]C1C(=O)OOC=1O_m2>>[O][O]_m3.O=C1OOC(O)C1=O_m1,597.8924424688944,abstraction
1,C=CCC_m1.[O]_m3>>[CH2]C=CC_m2.[OH]_m2,596.1048846818597,abstraction
2,OO_m1.[C]#C_m2>>[O]O_m2.C#C_m1,367.53925085749466,abstraction
3,[O]O_m2.C[CH]CC_m2>>[O][O]_m3.CCCC_m1,314.9337755866238,abstraction
4,CCCC_m1.[H]_m2>>[CH2]CCC_m2.[H][H]_m1,273.1156408901789,abstraction
5,C[CH]CC_m2.[CH3]_m2>>C=CCC_m1.C_m1,119.0644519684993,abstraction
6,C=CC_m1.[O]_m3>>[CH2]C=C_m2.[OH]_m2,116.35056521669632,abstraction
7,[CH2]_m3.C#C_m1>>[CH]C=C_m3,92.25536695192692,addition
8,[O][O]_m3.O=CC=CC=O_m1>>[O]C=CC(C=O)O[O]_m3,70.26001945650104,
9,[O]O_m2.[CH]1C=CCO1_m2>>[O][O]_m3.C1=COCC1_m1,31.86020798242194,abstraction
10,[CH2]C(=O)COO_m2>>C=C(O)CO[O]_m2,27.300936410756517,migration
11,OO_m1.[CH2]_m3>>[O]O_m2.[CH3]_m2,22.44699010446267,abstraction
12,[C-]#[O+]_m1.C[C]=O_m2>>O=[C]CC=O_m2,15.40997915062469,
13,CCCCOO_m1.C#C[O]_m2>>CCCCO[O]_m2.C=C=O_m1,15.308271308938787,abstraction
14,CCCC_m1.[H]_m2>>C[CH]CC_m2.[H][H]_m1,11.778431695502453,abstraction
15,[CH2]C=CC_m2.CCCCO[O]_m2>>C=C=CC_m1.CCCCOO_m1,11.368242605518436,abstraction
16,[CH2]_m3.[C]#C_m2>>C#C[CH2]_m2,11.209180172898282,
17,C[C]=O_m2.[H]_m2>>C=C=O_m1.[H][H]_m1,9.986630300550589,abstraction
18,[H]_m2.[O]O_m2>>[OH]_m2.[OH]_m2,9.931934610442198,
19,C=CO_m1.[CH]=C_m2>>C=C[O]_m2.C=C_m1,9.09127183362425,abstraction
20,C=[C]C_m2.C=C[O]_m2>>C=C=C_m1.C=CO_m1,9.069624676629592,abstraction
21,[O]C=O_m2.[CH2]C=CC_m2>>O=C=O_m1.CC=CC_m1,8.259026102553012,abstraction
22,[O]C=O_m2.[CH2]CCC_m2>>O=C=O_m1.CCCC_m1,8.257460290821037,abstraction
23,[O]O_m2.[CH2]CCC_m2>>[O][O]_m3.CCCC_m1,7.668705598168211,abstraction
24,O=C[C](O)C=O_m2.[H]_m2>>O=C=C(O)C=O_m1.[H][H]_m1,7.350543233109411,abstraction
25,OO_m1.[CH2]CCC_m2>>[O]O_m2.CCCC_m1,7.258893813161154,abstraction
26,[CH]=O_m2.[CH2]_m3>>C=C[O]_m2,7.026650090794528,
27,[CH2]C=CC=O_m2>>[CH]1C=CCO1_m2,7.002441206073668,
28,[CH2]CCC_m2.[O]C=O_m2>>C=CCC_m1.O=CO_m1,6.947403034462253,abstraction
29,[CH2]_m1.[CH2]CC_m2>>[CH2]CCC_m2,6.8068166421829215,
30,COO_m1.C#C[O]_m2>>CO[O]_m2.C=C=O_m1,6.060833886131049,abstraction
31,[CH2]_m3.C[CH2]_m2>>[CH2]CC_m2,5.7421101625960524,
32,[CH2]C(=O)COO_m2>>O=C1COC1_m1.[OH]_m2,5.480778442338266,
33,[O]_m3.C=C_m1>>O_m1.C#C_m1,5.436609636551439,
34,[CH2]_m1.CC=O_m1>>CC1CO1_m1,5.399821063787853,
35,C=C_m1.[CH2]_m3>>[CH]=C_m2.[CH3]_m2,4.3587972311777445,abstraction
36,OO_m1>>[OH]_m2.[OH]_m2,4.341729388421847,
37,CCCCO[O]_m2>>[O]O_m2.C=CCC_m1,4.266094416776614,
38,C=C=O_m1.CC(=O)C(O)=C[O]_m2>>CC(=O)[C](C=O)OCC=O_m2,4.06888169888867,
39,[H]_m2.[C]_m3>>[CH]_m2,4.062775359207503,
40,[CH2]_m1.C_m1>>CC_m1,3.8662362917199236,
41,C[CH]CC_m2.[CH]1C=CCO1_m2>>C=CCC_m1.C1=COCC1_m1,3.5773934778930623,abstraction
42,[O]O_m2.C=CC=C_m1>>[CH2]C(C=C)OO_m2,3.5366301081509564,addition
43,C=C[O]_m2.O=C=O_m1>>[O]C(=O)CC=O_m2,3.3627054166274712,addition
44,[O]CC(=O)C=O_m2.[H]_m2>>O=CC(=O)C=O_m1.[H][H]_m1,3.3388729108046205,abstraction
45,C=C_m1.CC=O_m1>>CC1CCO1_m1,3.311715125995452,
46,CC=O_m1.C[CH]CC_m2>>C=C[O]_m2.CCCC_m1,3.1445521017564366,abstraction
47,C#C[CH]C_m2.CCCCO[O]_m2>>C#CC=C_m1.CCCCOO_m1,3.082529750610316,abstraction
48,O=C=C=C(O)C=O_m1>>O=C=CC(=O)C=O_m1,3.05212364373188,migration
49,C1=COCC1_m1.[CH2]C=CC_m2>>[CH]1C=CCO1_m2.CC=CC_m1,2.9854019529844664,abstraction
50,[CH2]_m3.[CH3]_m2>>C[CH2]_m2,2.7911433548198343,
51,[O]O_m2.[CH2]C=C_m2>>[O][O]_m3.C=CC_m1,2.7558955744285663,abstraction
52,[O]O_m2.[H]_m2>>[O][O]_m3.[H][H]_m1,2.338698025689628,abstraction
53,[CH2]C=CCC_m2.C=O_m1>>CCC=CCC[O]_m2,2.299646546175864,addition
54,[CH3]_m2.[O]_m3>>[CH2]_m3.[OH]_m2,1.9813124976572816,abstraction
55,[O][C](C=O)C=C=O_m3>>O=C=CC(O)=C=O_m1,1.9051529793769308,migration
56,C[CH]C_m2.C=C[O]_m2>>C=CC_m1.CC=O_m1,1.75742753283055,abstraction
57,O=C[CH]C=CO_m2.[O][O]_m3>>[O]OC(O)C=CC=O_m2,1.7353834214849249,addition
58,[CH2]_m1.[O]OCCCOO_m2>>CC(CCOO)O[O]_m2,1.7032131682634426,
59,[CH2]C[CH2]_m3.[CH3]_m2>>[CH2]C=C_m2.C_m1,1.6579263819419912,abstraction
60,C=[C]C_m2.C=C[O]_m2>>C#CC_m1.CC=O_m1,1.6525917981363736,abstraction
61,C[CH]C_m2.C=C[CH]CO[O]_m3>>C=CC_m1.CC=CCO[O]_m2,1.612908101965616,abstraction
62,[CH]C=C_m3.[CH]=C=C=C_m2>>C#C[CH2]_m2.C=C=C=C_m1,1.6041911350674074,abstraction
63,[H]_m2.[CH]=O_m2>>C=O_m1,1.579146832225728,
64,C=C_m1>>[H][H]_m1.[C]=C_m1,1.5166802670338255,
65,[H]_m2.[O][O]_m3>>[O]O_m2,1.4995469733417877,addition
66,CC_m1.[O]O_m2>>C[CH2]_m2.OO_m1,1.483594462193672,abstraction
67,[O][O]_m3.[H]_m2>>[O]_m3.[OH]_m2,1.3562956428053528,
68,O=C=O_m1.[CH2]_m1>>O=C=O_m1.[CH2]_m3,1.3209013020722642,
69,[CH2]C=C_m2.[C-]#[O+]_m1>>[CH2]C=CC=O_m2,1.3103619253328638,
70,C=C=C_m1.[O]_m3>>C#C[CH2]_m2.[OH]_m2,1.228767236559671,abstraction
71,C=O_m1.C[CH]CC_m2>>[CH]=O_m2.CCCC_m1,1.14578220195368,abstraction
72,CCCC_m1.[OH]_m2>>C[CH]CC_m2.O_m1,1.133585524812453,abstraction
73,[O]C(C=O)=CO_m2>>O=C=C(O)[CH]O_m2,1.0697898991625605,migration
74,[O]_m3.[CH3]_m2>>[H]_m2.C=O_m1,1.0647010314887615,
75,[CH2]CCOO_m2.[CH2]_m1>>[CH2]CC(C)OO_m2,1.0579108424575538,
76,C=CO_m1.[CH2]O_m2>>C=C[O]_m2.CO_m1,1.01866998394063,abstraction
77,[CH]=C_m2.[H]_m2>>C#C_m1.[H][H]_m1,0.9974132094363648,abstraction
78,C=[C]C_m2.[CH]=C=C=C_m2>>C#CC_m1.C=C=C=C_m1,0.9697031676912478,abstraction
79,[O]C=O_m2.C=[C]C_m2>>O=C=O_m1.C=CC_m1,0.9134237223102912,abstraction
80,[O]CC=CC[O]_m3>>C1=CCOOC1_m1,0.9053191658845052,
81,[CH]=O_m2.C=C=O_m1>>O=[C]CC=O_m2,0.8866620516817296,addition
82,[CH]=O_m2.[O]O_m2>>[C-]#[O+]_m1.OO_m1,0.881631836938688,abstraction
83,CCCCOO_m1.[CH2]CC=C_m2>>C[CH]CCOO_m2.C=CCC_m1,0.8585434203940381,abstraction
84,C[CH]C_m2.O=[C]CC=O_m2>>C=CC_m1.O=CCC=O_m1,0.854909758504788,abstraction
85,C[CH]CC_m2.[CH]1C=CCO1_m2>>CC=CC_m1.C1=COCC1_m1,0.8437438251933591,abstraction
86,C=C=C_m1.[CH2]CCCOO_m2>>C#C[CH2]_m2.CCCCOO_m1,0.8032682797061973,abstraction
87,C=C=CC_m1.C=C[O]_m2>>[CH2]C#CC_m2.CC=O_m1,0.7955069459661624,abstraction
88,[C-]#[O+]_m1.[CH]=C_m2>>[CH]=CC=O_m2,0.7557636867942198,
89,[CH2]CCC_m2>>C[CH]CC_m2,0.7235641398900375,migration
90,[CH2]CC_m2.O=[C]CC=O_m2>>C=CC_m1.O=CCC=O_m1,0.7201896707267322,abstraction
91,[CH2]C(=C)O_m2.[O][O]_m3>>C=C(O)CO[O]_m2,0.7199375121805349,addition
92,COO_m1.[CH2]CCC_m2>>CO[O]_m2.CCCC_m1,0.7175396090996143,abstraction
93,CC=CC_m1.[CH2]CC=C_m2>>[CH2]C=CC_m2.C=CCC_m1,0.6962438491940993,abstraction
94,[O]_m3.[CH3]_m2>>[H]_m2.[H][H]_m1.[C-]#[O+]_m1,0.6898071119222979,
95,CC=O_m1.[CH2]O_m2>>C=C[O]_m2.CO_m1,0.6875352238234076,abstraction
96,[O]_m3.OO_m1>>[O][O]_m3.O_m1,0.6828532553289333,
97,[CH2]CCC_m2.[O][O]_m3>>C=CCC_m1.[O]O_m2,0.6640123748810396,abstraction
98,C#C[CH2]_m2.C=C(O)C=O_m1>>C#CCC([O])C(=C)O_m2,0.6632812072508913,addition
99,CC=O_m1.C=C[O]_m2>>C[C]=O_m2.CC=O_m1,0.6567403680406617,abstraction
100,[CH]=O_m2.[CH2]CCC_m2>>[C-]#[O+]_m1.CCCC_m1,0.6290334121339041,abstraction
101,[O]C=O_m2.C[C]=O_m2>>O=C=O_m1.CC=O_m1,0.6262104530394529,abstraction
102,CC=O_m1.[CH2]CCC_m2>>C=C[O]_m2.CCCC_m1,0.6226948459736775,abstraction
103,[CH2]C=CC_m2.[C]#C_m2>>C=CC=C_m1.C#C_m1,0.6127813693344328,abstraction
104,[O]_m3.[C-]#[O+]_m1>>O=C=O_m1,0.6096023672533225,
105,[CH2]C=CC_m2.[CH2]CCC_m2>>C=CC=C_m1.CCCC_m1,0.6013736876409668,abstraction
106,[O]CC(=O)C=O_m2>>[O]C1=COOC1_m2,0.5892673853900963,
107,C[CH]CC_m2.[O][O]_m3>>CC=CC_m1.[O]O_m2,0.5852318657367608,abstraction
