species_id,path
C_m1,geoms/C_m1.xyz
O_m1,geoms/O_m1.xyz
CC_m1,geoms/CC_m1.xyz
CO_m1,geoms/CO_m1.xyz
OO_m1,geoms/OO_m1.xyz
C#C_m1,geoms/C_t_C_m1.xyz
C=C_m1,geoms/C=C_m1.xyz
C=O_m1,geoms/C=O_m1.xyz
COO_m1,geoms/COO_m1.xyz
N#N_m1,geoms/N_t_N_m1.xyz
O=O_m1,geoms/O=O_m1.xyz
[C]_m3,geoms/_b_C_d__m3.xyz
[H]_m2,geoms/_b_H_d__m2.xyz
[O]_m3,geoms/_b_O_d__m3.xyz
C#CC_m1,geoms/C_t_CC_m1.xyz
C=CC_m1,geoms/C=CC_m1.xyz
C=CO_m1,geoms/C=CO_m1.xyz
CC=O_m1,geoms/CC=O_m1.xyz
CCCC_m1,geoms/CCCC_m1.xyz
C[O]_m2,geoms/C_b_O_d__m2.xyz
O=CO_m1,geoms/O=CO_m1.xyz
[Ar]_m1,geoms/_b_Ar_d__m1.xyz
[CH]_m2,geoms/_b_CH_d__m2.xyz
[He]_m1,geoms/_b_He_d__m1.xyz
[OH]_m2,geoms/_b_OH_d__m2.xyz
[O]O_m2,geoms/_b_O_d_O_m2.xyz
C1OO1_m1,geoms/C1OO1_m1.xyz
C=C=C_m1,geoms/C=C=C_m1.xyz
C=C=O_m1,geoms/C=C=O_m1.xyz
C=CCC_m1,geoms/C=CCC_m1.xyz
CC=CC_m1,geoms/CC=CC_m1.xyz
CO[O]_m2,geoms/CO_b_O_d__m2.xyz
C[C]C_m1,geoms/C_b_C_d_C_m1.xyz
O=C=O_m1,geoms/O=C=O_m1.xyz
[CH2]_m1,geoms/_b_CH2_d__m1.xyz
[CH2]_m3,geoms/_b_CH2_d__m3.xyz
[CH3]_m2,geoms/_b_CH3_d__m2.xyz
[CH]C_m1,geoms/_b_CH_d_C_m1.xyz
[C]#C_m2,geoms/_b_C_d__t_C_m2.xyz
[C]=C_m1,geoms/_b_C_d_=C_m1.xyz
C#CC=C_m1,geoms/C_t_CC=C_m1.xyz
C#C[O]_m2,geoms/C_t_C_b_O_d__m2.xyz
C1=CO1_m1,geoms/C1=CO1_m1.xyz
C=C=CC_m1,geoms/C=C=CC_m1.xyz
C=CC=C_m1,geoms/C=CC=C_m1.xyz
C=C[O]_m2,geoms/C=C_b_O_d__m2.xyz
C=[C]C_m2,geoms/C=_b_C_d_C_m2.xyz
CC1CO1_m1,geoms/CC1CO1_m1.xyz
CCCCOO_m1,geoms/CCCCOO_m1.xyz
CCO[O]_m2,geoms/CCO_b_O_d__m2.xyz
C[CH2]_m2,geoms/C_b_CH2_d__m2.xyz
C[CH]C_m2,geoms/C_b_CH_d_C_m2.xyz
C[C]=O_m2,geoms/C_b_C_d_=O_m2.xyz
C[C]CC_m1,geoms/C_b_C_d_CC_m1.xyz
O=C=CO_m1,geoms/O=C=CO_m1.xyz
O=[C]O_m2,geoms/O=_b_C_d_O_m2.xyz
[CH2]O_m2,geoms/_b_CH2_d_O_m2.xyz
[CH]=C_m2,geoms/_b_CH_d_=C_m2.xyz
[CH]=O_m2,geoms/_b_CH_d_=O_m2.xyz
[C]=CC_m1,geoms/_b_C_d_=CC_m1.xyz
[H][H]_m1,geoms/_b_H_d__b_H_d__m1.xyz
[O]C=O_m2,geoms/_b_O_d_C=O_m2.xyz
[O][O]_m3,geoms/_b_O_d__b_O_d__m3.xyz
C1=CCC1_m1,geoms/C1=CCC1_m1.xyz
C=C=C=C_m1,geoms/C=C=C=C_m1.xyz
C=C=C=O_m1,geoms/C=C=C=O_m1.xyz
C=CO[O]_m2,geoms/C=CO_b_O_d__m2.xyz
CC1C=C1_m1,geoms/CC1C=C1_m1.xyz
CC1CCO1_m1,geoms/CC1CCO1_m1.xyz
CCCC[O]_m2,geoms/CCCC_b_O_d__m2.xyz
CCCO[O]_m2,geoms/CCCO_b_O_d__m2.xyz
C[CH]CC_m2,geoms/C_b_CH_d_CC_m2.xyz
O=C(O)O_m1,geoms/O=C_p_O_q_O_m1.xyz
O=CCC=O_m1,geoms/O=CCC=O_m1.xyz
O[CH]CO_m2,geoms/O_b_CH_d_CO_m2.xyz
[CH2]CC_m2,geoms/_b_CH2_d_CC_m2.xyz
[CH2]CO_m2,geoms/_b_CH2_d_CO_m2.xyz
[CH]C=C_m3,geoms/_b_CH_d_C=C_m3.xyz
[CH]C=O_m3,geoms/_b_CH_d_C=O_m3.xyz
[O]C[O]_m3,geoms/_b_O_d_C_b_O_d__m3.xyz
[O]OC=O_m2,geoms/_b_O_d_OC=O_m2.xyz
[O]OCCO_m2,geoms/_b_O_d_OCCO_m2.xyz
C#CCC[O]_m2,geoms/C_t_CCC_b_O_d__m2.xyz
C#CCO[O]_m2,geoms/C_t_CCO_b_O_d__m2.xyz
