reaction_id,exception
CC=[CH]_m2.[H]_m2>>C=C=C_m1.[H][H]_m1,
CC=[CH]_m2.[CH3]_m2>>C=C=C_m1.C_m1,
CC(O)[CH2]_m2.[O][O]_m3>>CC(=O)C_m1.O[O]_m2,
C[CH]CO_m2.[O][O]_m3>>CCC=O_m1.O[O]_m2,
[CH2]C#C_m2.[H]_m2>>C1=C[C]1_m3.[H][H]_m1,
CC([O])(C)C_m2.[O][O]_m3>>CC1(C)OC1_m1.O[O]_m2,
CC1(C)OC1_m1.[OH]_m2>>O=CC([CH2])C_m2.O_m1,
CC1(C)OC1_m1.[H]_m2>>O=CC([CH2])C_m2.[H][H]_m1,
CC1(C)OC1_m1.O[O]_m2>>O=CC([CH2])C_m2.OO_m1,
CC1(C)OC1_m1.CO[O]_m2>>O=CC([CH2])C_m2.COO_m1,
CC1(C)OC1_m1.[CH3]_m2>>O=CC([CH2])C_m2.C_m1,
CC1(C)OC1_m1.[O]_m3>>O=CC([CH2])C_m2.[OH]_m2,
CC1(C)OC1_m1.[O][O]_m3>>O=CC([CH2])C_m2.O[O]_m2,
CC(=C)CCC(=C)C_m1.[H]_m2>>CC(=C)[CH]CC(=C)C_m2.[H][H]_m1,STREAM ioctl timeout
CC(=C)CCC(=C)C_m1.[O][O]_m3>>CC(=C)[CH]CC(=C)C_m2.O[O]_m2,STREAM ioctl timeout
CC(=C)CCC(=C)C_m1.[O]_m3>>CC(=C)[CH]CC(=C)C_m2.[OH]_m2,STREAM ioctl timeout
CC(=C)CCC(=C)C_m1.[OH]_m2>>CC(=C)[CH]CC(=C)C_m2.O_m1,STREAM ioctl timeout
CC(=C)CCC(=C)C_m1.O[O]_m2>>CC(=C)[CH]CC(=C)C_m2.OO_m1,STREAM ioctl timeout
CC(=C)CCC(=C)C_m1.[CH3]_m2>>CC(=C)[CH]CC(=C)C_m2.C_m1,STREAM ioctl timeout
CC=CCCC=CC_m1.[OH]_m2>>CC=C[CH]CC=CC_m2.O_m1,
CC=CCCC=CC_m1.[OH]_m2>>CC=CCCC=C[CH2]_m2.O_m1,
CC=CCCC=CC_m1.O[O]_m2>>CC=C[CH]CC=CC_m2.OO_m1,
CC=CCCC=CC_m1.O[O]_m2>>CC=CCCC=C[CH2]_m2.OO_m1,
CC=CCCC=CC_m1.[H]_m2>>CC=C[CH]CC=CC_m2.[H][H]_m1,
CC=CCCC=CC_m1.[H]_m2>>CC=CCCC=C[CH2]_m2.[H][H]_m1,
CC=CCCC=CC_m1.[O]_m3>>CC=C[CH]CC=CC_m2.[OH]_m2,
CC=CCCC=CC_m1.[O]_m3>>CC=CCCC=C[CH2]_m2.[OH]_m2,
CC=CCCC=CC_m1.[CH3]_m2>>CC=C[CH]CC=CC_m2.C_m1,
CC=CCCC=CC_m1.[CH3]_m2>>CC=CCCC=C[CH2]_m2.C_m1,
CC=CCCC=CC_m1.[O][O]_m3>>CC=C[CH]CC=CC_m2.O[O]_m2,
CC=CCCC=CC_m1.[O][O]_m3>>CC=CCCC=C[CH2]_m2.O[O]_m2,
O1CC=CC1_m1.[H]_m2>>[CH2]C=CC=O_m2.[H][H]_m1,
O1CC=CC1_m1.[O]_m3>>[CH2]C=CC=O_m2.[OH]_m2,
O1CC=CC1_m1.[OH]_m2>>[CH2]C=CC=O_m2.O_m1,
