reaction_id,exception
O[C]=O_m2>>[C]=O_m3.[OH]_m2,
COO_m1>>C[O]_m2.[OH]_m2,
OC[O]_m2.[OH]_m2>>OOCO_m1,
OC=O_m1>>[C]=O_m3.O_m1,
OC=O_m1>>O=C=O_m1.[H][H]_m1,
[O]C=O_m2.[OH]_m2>>OOC=O_m1,
C[CH2]_m2.[O][O]_m3>>[CH2]COO_m2,
CCO[O]_m2>>CC=O_m1.[OH]_m2,
CCO[O]_m2>>C=C_m1.O[O]_m2,
CCO[O]_m2>>O1CC1_m1.[OH]_m2,
[CH2]COO_m2>>O1CC1_m1.[OH]_m2,
[CH2]COO_m2>>CC=O_m1.[OH]_m2,
CCOO_m1>>CC[O]_m2.[OH]_m2,
O1CC1_m1>>[CH3]_m2.[CH]=O_m2,
[O]OC=C_m2>>[CH]CO_m3.[OH]_m2,
[O]OC=C_m2>>[CH]CO_m3.[OH]_m2,
[O]OC=C_m2>>[CH2]C=O_m2.[O]_m3,
[O]OC=C_m2>>[CH2]C=O_m2.[O]_m3,
[O]OC=C_m2>>O=CC=O_m1.[H]_m2,
[O]OC=C_m2>>O=CC=O_m1.[H]_m2,
[O]OC=C_m2>>C=C=O_m1.[OH]_m2,
[O]OC=C_m2>>C=C=O_m1.[OH]_m2,
[O]OC=C_m2>>C=O_m1.[CH]=O_m2,
[O]OC=C_m2>>C=O_m1.[CH]=O_m2,
[O]OC=C_m2>>[C]=O_m3.C[O]_m2,
[O]OC=C_m2>>[C]=O_m3.C[O]_m2,
CC(=O)OO_m1>>CC(=O)[O]_m2.[OH]_m2,
[CH2]C=O_m2.[O][O]_m3>>OOC[C]=O_m2,
[O]OCC=O_m2>>C=C=O_m1.O[O]_m2,
CCO_m1>>C=C_m1.O_m1,
CCO_m1>>[CH3]_m2.[CH2]O_m2,
CCO_m1>>C[CH2]_m2.[OH]_m2,
CO[CH2]_m2.[O][O]_m3>>[CH2]OCOO_m2,
OOCOCO[O]_m2>>OOCOC=O_m1.[OH]_m2,
COC[O]_m2.[OH]_m2>>COCOO_m1,
OOCOC=O_m1>>[O]COC=O_m2.[OH]_m2,
OCO[C]=O_m2>>OC[O]_m2.[C]=O_m3,
C[O]_m2.[CH]=O_m2>>COC=O_m1,
[CH3]_m2.[O]C=O_m2>>COC=O_m1,
[CH2]OC=O_m2.[H]_m2>>COC=O_m1,
CO[C]=O_m2.[H]_m2>>COC=O_m1,
CO[C]=O_m2>>C[O]_m2.[C]=O_m3,
CC[CH2]_m2.[H]_m2>>CCC_m1,
C[CH]C_m2.[H]_m2>>CCC_m1,
[O]OC(C)C_m2>>CC=C_m1.O[O]_m2,
CCCO[O]_m2>>CC=C_m1.O[O]_m2,
C[CH]COO_m2>>CC1CO1_m1.[OH]_m2,
[CH2]CCOO_m2>>C1CCO1_m1.[OH]_m2,
OOCC(OO)[CH2]_m2>>OOCC1CO1_m1.[OH]_m2,
OOCC(OO)[CH2]_m2>>OOC1COC1_m1.[OH]_m2,
OOC[CH]COO_m2>>OOCC1CO1_m1.[OH]_m2,
OOCC(O[O])C_m2>>CC(C=O)OO_m1.[OH]_m2,
OOCCCO[O]_m2>>OOCCC=O_m1.[OH]_m2,
[O]OCC(OO)C_m2>>CC(=O)COO_m1.[OH]_m2,
OOC=C_m1>>[CH2]C=O_m2.[OH]_m2,
CC(=O)COO_m1>>CC(=O)C[O]_m2.[OH]_m2,
CCCOO_m1>>CCC[O]_m2.[OH]_m2,
CC([O])C_m2.[OH]_m2>>OOC(C)C_m1,
CC1CO1_m1>>C=C_m1.C=O_m1,
C1CCO1_m1>>C=C_m1.C=O_m1,
[CH2]_m1.C=C_m1>>C1CC1_m1,
[CH2]_m1.C=C_m1>>C1CC1_m1,
[CH2]_m1.C=C_m1>>CC=C_m1,
[CH2]_m1.C=C_m1>>CC=C_m1,
CC=C_m1>>C=[CH]_m2.[CH3]_m2,
CC=C_m1>>C=[CH]_m2.[CH3]_m2,
CC=C_m1>>[CH2]C=C_m2.[H]_m2,
CC=C_m1>>[CH2]C=C_m2.[H]_m2,
C1CC1_m1>>[CH2]C=C_m2.[H]_m2,
C1CC1_m1>>[CH2]C=C_m2.[H]_m2,
C1CC1_m1>>C=[CH]_m2.[CH3]_m2,
C1CC1_m1>>C=[CH]_m2.[CH3]_m2,
C[C]=C_m2.[H]_m2>>CC=C_m1,
C[C]=C_m2.[H]_m2>>CC=C_m1,
CC=C_m1>>CC=[CH]_m2.[H]_m2,
OOC([CH2])C_m2>>CC1CO1_m1.[OH]_m2,
[CH2]C=C_m2.O[O]_m2>>OOCC=C_m1,
OOCC=C_m1>>C=CC=O_m1.O_m1,
OOCC=C_m1>>[O]CC=C_m2.[OH]_m2,
[O]CC=C_m2>>C=C_m1.[CH]=O_m2,
[CH2]OC=C_m2>>C=CC=O_m1.[H]_m2,
[CH2]OC=C_m2>>C=C_m1.[CH]=O_m2,
[CH2]CC=O_m2>>C=[CH]_m2.C=O_m1,
[CH2]C=C_m2.CO[O]_m2>>COOCC=C_m1,
COOCC=C_m1>>[O]CC=C_m2.C[O]_m2,
OC[C]=C_m2.[H]_m2>>OCC=C_m1,
OC[C]=C_m2>>C#C_m1.[CH2]O_m2,
OC[C]=C_m2>>C=O_m1.C=[CH]_m2,
OC[C]=C_m2>>C=CC=O_m1.[H]_m2,
OC[C]=C_m2>>[CH]=O_m2.C=C_m1,
CC(=O)C_m1.[H]_m2>>CC(O)[CH2]_m2,
CC(=C)O_m1.[H]_m2>>CC(O)[CH2]_m2,Caught an unknown exception!
CCC=O_m1.[H]_m2>>C[CH]CO_m2,
C[C]=C_m2.[OH]_m2>>CC(=C)O_m1,Caught an unknown exception!
CC(O)[CH2]_m2.[O][O]_m3>>OCC(O[O])C_m2,
[CH2]C=C_m2.C#C_m1>>[CH2]C=CC=C_m2,
C#[C]_m2.[CH3]_m2>>CC#C_m1,
CC#C_m1>>[CH2]C#C_m2.[H]_m2,
C=C=C_m1>>[CH2]C#C_m2.[H]_m2,
[CH2]C#C_m2.[H]_m2>>C1=CC1_m1,
C=C=C_m1.[H]_m2>>CC=[CH]_m2,
CC#C_m1.[H]_m2>>[CH2]C=C_m2,
C#C_m1.[CH3]_m2>>C[C]=C_m2,
C#C_m1.[CH3]_m2>>[CH2]C=C_m2,
[CH2]C(=C)O_m2>>C=C=O_m1.[CH3]_m2,
CC#C_m1.[OH]_m2>>[CH2]C(=C)O_m2,
[CH2]C#C_m2.O[O]_m2>>OOC=C=C_m1,
OOC=C=C_m1>>O=CC#C_m1.O_m1,
C#[C]_m2.C=O_m1>>[O]C=C=C_m2,
O=CC#C_m1>>C#C_m1.[C]=O_m3,
C#[C]_m2.[CH]=O_m2>>O=CC#C_m1,
[CH2]C#C_m2.[CH2]C#C_m2>>c1ccccc1_m1,
[CH2]C#C_m2.[CH2]C#C_m2>>C=C1C=CC=C1_m1,
CC(=O)C_m1>>C[C]=O_m2.[CH3]_m2,
