reaction_id,x_idx,y_idx,xy_idx_x,xy_idx_y
[H]_m2.O=C=O_m1>>[O]C=O_m2,0,1,3,1
[H]_m2.O=C=O_m1>>O[C]=O_m2,0,0,3,0
[OH]_m2.C=O_m1>>[CH2]OO_m2,0,1,4,3
[OH]_m2.C=O_m1>>OC[O]_m2,0,0,0,1
[H]_m2.OC=O_m1>>OC[O]_m2,0,1,4,1
O[O]_m2.C=O_m1>>OOC[O]_m2,1,0,1,2
[CH]=O_m2.[O][O]_m3>>[O]OC=O_m2,0,1,2,1
C[CH2]_m2.[O][O]_m3>>CCO[O]_m2,1,1,1,2
O[O]_m2.C=C_m1>>[CH2]COO_m2,1,1,4,3
[OH]_m2.C=C_m1>>[CH2]CO_m2,0,1,4,3
C=[CH]_m2.[O][O]_m3>>[O]OC=C_m2,1,1,2,1
C=[CH]_m2.[O][O]_m3>>[O]OC=C_m2,1,1,2,1
[OH]_m2.C#C_m1>>OC=[CH]_m2,0,1,0,1
C[C]=O_m2.[O][O]_m3>>CC(=O)O[O]_m2,1,1,1,3
[H]_m2.OC=C_m1>>[CH2]CO_m2,0,1,5,3
[CH2]C=O_m2.[O][O]_m3>>[O]OCC=O_m2,0,1,2,1
O[O]_m2.C=C=O_m1>>OOC[C]=O_m2,1,0,1,2
[H]_m2.CC=O_m1>>C[CH]O_m2,0,2,7,3
[H]_m2.OC=C_m1>>C[CH]O_m2,0,2,4,0
[CH3]_m2.C=O_m1>>CC[O]_m2,0,0,0,1
[H]_m2.CC=O_m1>>CC[O]_m2,0,1,6,1
[CH2]CO_m2.[O][O]_m3>>OCCO[O]_m2,0,1,2,3
[CH3]_m2.C=O_m1>>CO[CH2]_m2,0,1,0,1
CO[CH2]_m2.[O][O]_m3>>COCO[O]_m2,2,1,2,3
[CH2]OCOO_m2.[O][O]_m3>>OOCOCO[O]_m2,0,1,4,5
[O]C=O_m2.C=O_m1>>[O]COC=O_m2,2,0,2,1
[CH2]O_m2.O=C=O_m1>>OCO[C]=O_m2,0,0,1,2
C[O]_m2.C=O_m1>>COC[O]_m2,1,0,1,2
[H]_m2.COC=O_m1>>COC[O]_m2,0,2,7,2
[CH3]_m2.O=C=O_m1>>CO[C]=O_m2,0,0,0,1
[CH]=O_m2.C=O_m1>>[CH2]OC=O_m2,0,1,4,3
C[CH2]_m2.C=O_m1>>CCC[O]_m2,1,0,1,2
[H]_m2.CCC=O_m1>>CCC[O]_m2,0,2,9,2
[CH3]_m2.CC=O_m1>>CC([O])C_m2,0,1,0,1
[H]_m2.CC(=O)C_m1>>CC([O])C_m2,0,1,7,1
CC[CH2]_m2.[O][O]_m3>>CCCO[O]_m2,2,1,2,3
C[CH]C_m2.[O][O]_m3>>[O]OC(C)C_m2,1,1,2,1
O[O]_m2.CC=C_m1>>C[CH]COO_m2,1,2,4,3
[CH3]_m2.OOC=C_m1>>OOC([CH2])C_m2,0,2,6,2
C[CH]COO_m2.[O][O]_m3>>OOCC(O[O])C_m2,1,1,3,4
[CH2]CCOO_m2.[O][O]_m3>>OOCCCO[O]_m2,0,1,4,5
OOC([CH2])C_m2.[O][O]_m3>>[O]OCC(OO)C_m2,3,1,2,1
O[O]_m2.OOCC=C_m1>>OOCC(OO)[CH2]_m2,1,3,4,3
O[O]_m2.OOCC=C_m1>>OOC[CH]COO_m2,1,4,6,5
[H]_m2.CC=C_m1>>CC[CH2]_m2,0,1,8,1
[H]_m2.CC=C_m1>>CC[CH2]_m2,0,1,8,1
[H]_m2.CC=C_m1>>C[CH]C_m2,0,2,4,0
[H]_m2.CC=C_m1>>C[CH]C_m2,0,2,4,0
[CH3]_m2.C=C_m1>>CC[CH2]_m2,0,1,0,1
[CH3]_m2.C=C_m1>>CC[CH2]_m2,0,1,0,1
O[O]_m2.CC=C_m1>>OOC([CH2])C_m2,1,1,1,2
C=[CH]_m2.C=O_m1>>[O]CC=C_m2,1,0,2,1
[H]_m2.C=CC=O_m1>>[O]CC=C_m2,0,2,4,1
C=[CH]_m2.C=O_m1>>[CH2]OC=C_m2,1,1,4,3
[H]_m2.C=CC=O_m1>>[CH2]CC=O_m2,0,1,6,3
[CH]=O_m2.C=C_m1>>[CH2]CC=O_m2,0,1,4,3
[OH]_m2.CC=C_m1>>C[CH]CO_m2,0,2,4,3
[OH]_m2.CC=C_m1>>C[CH]CO_m2,0,2,4,3
[OH]_m2.CC=C_m1>>CC(O)[CH2]_m2,0,1,2,1
[OH]_m2.CC=C_m1>>CC(O)[CH2]_m2,0,1,2,1
C[CH]CO_m2.[O][O]_m3>>OCC(O[O])C_m2,1,1,2,3
[H]_m2.C=C=C_m1>>[CH2]C=C_m2,0,1,5,3
[H]_m2.C=C=C_m1>>[CH2]C=C_m2,0,1,5,3
[H]_m2.C=C=C_m1>>C[C]=C_m2,0,0,3,0
[H]_m2.C=C=C_m1>>C[C]=C_m2,0,0,3,0
[H]_m2.CC#C_m1>>C[C]=C_m2,0,2,6,2
[H]_m2.CC#C_m1>>C[C]=C_m2,0,2,6,2
[H]_m2.CC#C_m1>>CC=[CH]_m2,0,1,7,1
[H]_m2.CC#C_m1>>CC=[CH]_m2,0,1,7,1
[CH3]_m2.C#C_m1>>CC=[CH]_m2,0,1,0,1
[CH3]_m2.C#C_m1>>CC=[CH]_m2,0,1,0,1
[OH]_m2.C=C=C_m1>>OC[C]=C_m2,0,0,0,1
[OH]_m2.C=C=C_m1>>[CH2]C(=C)O_m2,0,1,5,3
[OH]_m2.CC#C_m1>>C[C]=CO_m2,0,2,3,2
[H]_m2.C=CC=O_m1>>C[CH]C=O_m2,0,0,5,0
[H]_m2.CC=C=O_m1>>C[CH]C=O_m2,0,2,8,3
C[C]=O_m2.C=O_m1>>CC(=O)C[O]_m2,1,0,1,3
CC(=O)[CH2]_m2.[O][O]_m3>>CC(=O)CO[O]_m2,3,1,3,4
[CH3]_m2.C=C=O_m1>>CC(=O)[CH2]_m2,0,1,0,1
C[CH2]_m2.CC=O_m1>>CCC([O])C_m2,1,1,1,2
CCC[CH2]_m2.[O][O]_m3>>CCCCO[O]_m2,3,1,3,4
C[CH]CC_m2.[O][O]_m3>>CC(O[O])CC_m2,1,1,1,2
CC[CH]COO_m2.[O][O]_m3>>OOCC(O[O])CC_m2,2,1,3,4
