reaction_id,exception
O1CC1_m1>>CC=O_m1,
O1[CH]C1_m2>>C[C]=O_m2,
O1[CH]C1_m2>>[CH2]C=O_m2,
CC=C_m1>>C1CC1_m1,
CC=C_m1>>C1CC1_m1,
[O]CC=C_m2>>[CH2]OC=C_m2,
[CH2]OC=C_m2>>[CH2]CC=O_m2,
C1=CC1_m1>>CC#C_m1,
C1=CC1_m1>>C=C=C_m1,
CC1(C)OC1_m1>>O=CC(C)C_m1,
[O]OC(C)(C)C_m2>>OOC([CH2])(C)C_m2,
CC(=C)C[O]_m2>>[CH2]OC(=C)C_m2,
[CH2]OC(=C)C_m2>>O=CC([CH2])C_m2,
CC(=C)CO[O]_m2>>C[C]1COOC1_m2,
CC(=C)CO[O]_m2>>CC1([CH2])COO1_m2,
C[C]1COOC1_m2>>CC1(C[O])CO1_m2,
CC1[CH]OOC1_m2>>CC(C=O)C[O]_m2,
CC1([CH2])COO1_m2>>[CH2]OOC(=C)C_m2,
CC1([CH2])COO1_m2>>CC1(C[O])CO1_m2,
CC(C=C)[O]_m2>>[CH2]OCC=C_m2,
[CH2]OCC=C_m2>>[CH2]CC(=O)C_m2,
CC=CC[O]_m2>>[CH2]OC=CC_m2,
[CH2]OC=CC_m2>>C[CH]CC=O_m2,
CCC(O)[CH2]_m2>>C[CH]CCO_m2,
CCC(O)[CH2]_m2>>[CH2]CCCO_m2,
C=CC1CO1_m1>>C1CC=CO1_m1,
C1CC=CO1_m1>>CC=CC=O_m1,
CC#CC_m1>>C=CC=C_m1,
CCC(OO)CC=O_m1>>CCC1CC(OO1)O_m1,
CC(OO)CC(=O)C_m1>>CC1OOC(C1)(C)O_m1,
CCC(=O)CCOO_m1>>CCC1(O)CCOO1_m1,
[O]OCCC(C)C_m2>>OOCCC([CH2])C_m2,
[O]OCCC(C)C_m2>>OOCC[C](C)C_m2,
[O]OCCC(C)C_m2>>OOC[CH]C(C)C_m2,
[O]OCC(C(OO)C)C_m2>>OOCC(C(OO)C)[CH2]_m2,
[O]OCC(C(OO)C)C_m2>>OOC[C](C(OO)C)C_m2,
[O]OCC(C(OO)C)C_m2>>OOCC(C(OO)[CH2])C_m2,
C[CH]CCCC_m2>>CC[CH]CCC_m2,STREAM ioctl timeout
CCCC(CCOO)O[O]_m2>>CCCC([CH]COO)OO_m2,
CCCC(CCOO)O[O]_m2>>CC[CH]C(CCOO)OO_m2,
CCCC(CCOO)O[O]_m2>>C[CH]CC(CCOO)OO_m2,
CCCC(CCOO)O[O]_m2>>[CH2]CCC(CCOO)OO_m2,
CCCCCC[CH2]_m2>>CC[CH]CCCC_m2,STREAM ioctl timeout
C[CH]CCCCC_m2>>CC[CH]CCCC_m2,STREAM ioctl timeout
CCCC(CCC)O[O]_m2>>CC[CH]C(CCC)OO_m2,STREAM ioctl timeout
CCCCCC(COO)O[O]_m2>>CCCC[CH]C(COO)OO_m2,STREAM ioctl timeout
CCCCCC(COO)O[O]_m2>>CCC[CH]CC(COO)OO_m2,STREAM ioctl timeout
