reaction_id,r_idx_h,r_idx_a,p_idx_h,p_idx_a
OOC[O]_m2>>[O]OCO_m2,4,3,6,0
[CH2]COO_m2>>CCO[O]_m2,8,0,6,3
OC=C_m1>>CC=O_m1,3,2,5,2
[O]OCC=O_m2>>OOC[C]=O_m2,7,0,5,3
C[CH]O_m2>>CC[O]_m2,7,1,7,2
C[CH]O_m2>>[CH2]CO_m2,6,1,6,0
COCO[O]_m2>>[CH2]OCOO_m2,7,4,9,0
[O]COC=O_m2>>OCO[C]=O_m2,7,0,5,3
CO[C]=O_m2>>[CH2]OC=O_m2,6,2,6,0
CCCO[O]_m2>>C[CH]COO_m2,9,4,11,1
CCCO[O]_m2>>[CH2]CCOO_m2,7,4,11,0
[O]OC(C)C_m2>>OOC([CH2])C_m2,8,0,7,3
OOCC(O[O])C_m2>>OOCC(OO)[CH2]_m2,13,5,13,6
OOCCCO[O]_m2>>OOC[CH]COO_m2,11,6,13,3
[O]OCC(OO)C_m2>>OOCC(OO)[CH2]_m2,13,0,9,6
[O]CC=C_m2>>[CH2]CC=O_m2,5,2,7,4
CC=CO_m1>>CCC=O_m1,9,1,8,3
C=C=C_m1>>CC#C_m1,4,2,5,2
[CH2]C=C_m2>>C[C]=C_m2,5,4,5,1
[CH2]C=C_m2>>CC=[CH]_m2,2,4,6,2
C[C]=C_m2>>CC=[CH]_m2,7,1,7,2
C[C]=CO_m2>>C[CH]C=O_m2,8,1,2,4
CCCCO[O]_m2>>CC[CH]COO_m2,12,5,14,2
CCCCO[O]_m2>>C[CH]CCOO_m2,10,5,14,1
CCCCO[O]_m2>>[CH2]CCCOO_m2,8,5,14,0
CC(O[O])CC_m2>>[CH2]C(OO)CC_m2,8,3,9,0
CC(O[O])CC_m2>>CC(OO)[CH]C_m2,11,3,11,4
CC(O[O])CC_m2>>CC(OO)C[CH2]_m2,14,3,12,5
OOCC(O[O])CC_m2>>OOCC(OO)C[CH2]_m2,16,5,14,7
OOCC(O[O])CC_m2>>OOCC(OO)[CH]C_m2,13,5,13,6
OOCCC(O[O])C_m2>>OOCCC(OO)[CH2]_m2,16,6,16,7
OOCCC(O[O])C_m2>>OOC[CH]C(OO)C_m2,12,6,13,3
OOCCCCO[O]_m2>>OOC[CH]CCOO_m2,12,7,16,3
OOCCCCO[O]_m2>>OOC[CH]CCOO_m2,12,7,16,3
[O]OCC(OO)CC_m2>>OOCC(OO)[CH]C_m2,13,0,9,6
[O]OCC(OO)CC_m2>>OOCC(OO)C[CH2]_m2,16,0,10,7
OOC(C(O[O])C)C_m2>>OOC(C(OO)C)[CH2]_m2,16,5,13,7
OOC(C(O[O])C)C_m2>>OOC(C(OO)C)[CH2]_m2,16,5,13,7
[O]OCCC(OO)C_m2>>OOCCC(OO)[CH2]_m2,16,0,10,7
[O]OCCC(OO)C_m2>>OOC[CH]C(OO)C_m2,11,0,9,3
CC([CH2])C_m2>>C[C](C)C_m2,9,2,9,1
OC=C(C)C_m1>>O=CC(C)C_m1,5,2,6,0
[O]OC(C=O)(C)C_m2>>OOC(C=O)([CH2])C_m2,10,0,9,5
[O]OC(C=O)(C)C_m2>>OOC([C]=O)(C)C_m2,7,0,7,3
[O]OCC(C)C_m2>>OOCC([CH2])C_m2,11,0,8,4
[O]OCC(C)C_m2>>OOC[C](C)C_m2,8,0,6,3
OOCC(O[O])(C)C_m2>>OOCC(OO)([CH2])C_m2,13,5,13,6
OOCC(CO[O])C_m2>>OOCC(COO)[CH2]_m2,16,6,16,7
OOCC(CO[O])C_m2>>OOC[C](COO)C_m2,11,6,13,3
[O]OCC(OO)(C)C_m2>>OOCC(OO)([CH2])C_m2,13,0,10,6
CC(=C)[CH2]_m2>>CC(=[CH])C_m2,10,3,7,2
CC(=C)C[O]_m2>>O=CC([CH2])C_m2,11,1,8,1
CC(=C)CO[O]_m2>>[CH2]C(=C)COO_m2,8,5,12,4
C[C]1COOC1_m2>>CC1[CH]OOC1_m2,10,1,10,2
OCC(O[O])(C)C_m2>>[O]CC(OO)(C)C_m2,7,4,9,0
OCC(O[O])(C)C_m2>>OCC(OO)([CH2])C_m2,12,4,12,5
OCC(O[O])(C)C_m2>>O[CH]C(OO)(C)C_m2,9,4,9,1
[O]OCC(O)(C)C_m2>>OOCC([O])(C)C_m2,9,0,7,4
[O]OCC(O)(C)C_m2>>OOCC(O)([CH2])C_m2,12,0,9,5
[O]OC(C(OO)(C)C)O_m2>>OOC(C(OO)(C)C)[O]_m2,17,0,9,8
[O]OC(C(OO)(C)C)O_m2>>OOC(C(OO)([CH2])C)O_m2,13,0,11,6
