Unnamed: 0,species,species_id,path
0,AR,[Ar]_m1,geoms/_b_Ar_d__m1.xyz
1,N2,N#N_m1,geoms/N_t_N_m1.xyz
2,HE,[He]_m1,geoms/_b_He_d__m1.xyz
3,H2,[H][H]_m1,geoms/_b_H_d__b_H_d__m1.xyz
4,H,[H]_m2,geoms/_b_H_d__m2.xyz
5,O2,[O][O]_m3,geoms/_b_O_d__b_O_d__m3.xyz
6,O,[O]_m3,geoms/_b_O_d__m3.xyz
7,H2O,O_m1,geoms/O_m1.xyz
8,OH,[OH]_m2,geoms/_b_OH_d__m2.xyz
9,OH,[OH]_m2,geoms/_b_OH_d__m2.xyz
10,H2O2,OO_m1,geoms/OO_m1.xyz
11,HO2,O[O]_m2,geoms/O_b_O_d__m2.xyz
12,CO,[C]=O_m3,geoms/_b_C_d_=O_m3.xyz
13,CO2,O=C=O_m1,geoms/O=C=O_m1.xyz
14,HOCO,O[C]=O_m2,geoms/O_b_C_d_=O_m2.xyz
15,CH4,C_m1,geoms/C_m1.xyz
16,CH3,[CH3]_m2,geoms/_b_CH3_d__m2.xyz
17,CH2,[CH2]_m3,geoms/_b_CH2_d__m3.xyz
18,CH2(S),[CH2]_m1,geoms/_b_CH2_d__m1.xyz
19,C,[C]_m5,geoms/_b_C_d__m5.xyz
20,CH,[CH]_m4,geoms/_b_CH_d__m4.xyz
21,CH,[CH]_m4,geoms/_b_CH_d__m4.xyz
22,CH3O2H,COO_m1,geoms/COO_m1.xyz
23,CH3O2,CO[O]_m2,geoms/CO_b_O_d__m2.xyz
24,CH2O2H,[CH2]OO_m2,geoms/_b_CH2_d_OO_m2.xyz
25,CH3OH,CO_m1,geoms/CO_m1.xyz
26,CH3O,C[O]_m2,geoms/C_b_O_d__m2.xyz
27,CH2OH,[CH2]O_m2,geoms/_b_CH2_d_O_m2.xyz
28,CH2O,C=O_m1,geoms/C=O_m1.xyz
29,HCO,[CH]=O_m2,geoms/_b_CH_d_=O_m2.xyz
30,HCOH,[CH]O_m3,geoms/_b_CH_d_O_m3.xyz
31,HO2CHO,OOC=O_m1,geoms/OOC=O_m1.xyz
32,HOCH2O2H,OOCO_m1,geoms/OOCO_m1.xyz
33,HOCH2O2,[O]OCO_m2,geoms/_b_O_d_OCO_m2.xyz
34,OCH2O2H,OOC[O]_m2,geoms/OOC_b_O_d__m2.xyz
35,HOCH2O,OC[O]_m2,geoms/OC_b_O_d__m2.xyz
36,O2CHO,[O]OC=O_m2,geoms/_b_O_d_OC=O_m2.xyz
37,HOCHO,OC=O_m1,geoms/OC=O_m1.xyz
38,OCHO,[O]C=O_m2,geoms/_b_O_d_C=O_m2.xyz
39,C2H6,CC_m1,geoms/CC_m1.xyz
40,C2H5,C[CH2]_m2,geoms/C_b_CH2_d__m2.xyz
41,C2H5O2H,CCOO_m1,geoms/CCOO_m1.xyz
42,C2H5O2,CCO[O]_m2,geoms/CCO_b_O_d__m2.xyz
43,C2H4,C=C_m1,geoms/C=C_m1.xyz
44,C2H3,C=[CH]_m2,geoms/C=_b_CH_d__m2.xyz
45,CHOCHO,O=CC=O_m1,geoms/O=CC=O_m1.xyz
46,C2H3OOH,OOC=C_m1,geoms/OOC=C_m1.xyz
47,C2H3OO,[O]OC=C_m2,geoms/_b_O_d_OC=C_m2.xyz
48,CHCHO,[CH]CO_m3,geoms/_b_CH_d_CO_m3.xyz
49,C2H2,C#C_m1,geoms/C_t_C_m1.xyz
50,C2H,C#[C]_m2,geoms/C_t__b_C_d__m2.xyz
51,H2CC,C=[C]_m3,geoms/C=_b_C_d__m3.xyz
52,C2H5OH,CCO_m1,geoms/CCO_m1.xyz
53,C2H5O,CC[O]_m2,geoms/CC_b_O_d__m2.xyz
54,PC2H4OH,[CH2]CO_m2,geoms/_b_CH2_d_CO_m2.xyz
55,SC2H4OH,C[CH]O_m2,geoms/C_b_CH_d_O_m2.xyz
56,O2C2H4OH,OCCO[O]_m2,geoms/OCCO_b_O_d__m2.xyz
57,C2H4O2H,[CH2]COO_m2,geoms/_b_CH2_d_COO_m2.xyz
58,C2H4O1-2,O1CC1_m1,geoms/O1CC1_m1.xyz
59,C2H3O1-2,O1[CH]C1_m2,geoms/O1_b_CH_d_C1_m2.xyz
60,CH3CHO,CC=O_m1,geoms/CC=O_m1.xyz
61,CH3CO,C[C]=O_m2,geoms/C_b_C_d_=O_m2.xyz
62,CH2CHO,[CH2]C=O_m2,geoms/_b_CH2_d_C=O_m2.xyz
63,O2CH2CHO,[O]OCC=O_m2,geoms/_b_O_d_OCC=O_m2.xyz
64,HO2CH2CO,OOC[C]=O_m2,geoms/OOC_b_C_d_=O_m2.xyz
65,C2H3OH,OC=C_m1,geoms/OC=C_m1.xyz
