species,species_id,path
Ne,[Ne]_m1,geoms/_b_Ne_d__m1.xyz
methane(1),C_m1,geoms/C_m1.xyz
ethane(2),CC_m1,geoms/CC_m1.xyz
propane(3),CCC_m1,geoms/CCC_m1.xyz
O2(4),[O][O]_m3,geoms/_b_O_d__b_O_d__m3.xyz
CH3OH(5),CO_m1,geoms/CO_m1.xyz
CH(6),[CH]_m2,geoms/_b_CH_d__m2.xyz
CH2(T)(7),[CH2]_m3,geoms/_b_CH2_d__m3.xyz
CH2(S)(8),[CH2]_m1,geoms/_b_CH2_d__m1.xyz
HO2(16),[O]O_m2,geoms/_b_O_d_O_m2.xyz
C3H7(38),C[CH]C_m2,geoms/C_b_CH_d_C_m2.xyz
CH3(22),[CH3]_m2,geoms/_b_CH3_d__m2.xyz
C2H5(33),C[CH2]_m2,geoms/C_b_CH2_d__m2.xyz
CH3O2(47),CO[O]_m2,geoms/CO_b_O_d__m2.xyz
H(9),[H]_m2,geoms/_b_H_d__m2.xyz
C3H7O2(45),CC(C)O[O]_m2,geoms/CC_p_C_q_O_b_O_d__m2.xyz
C2H5O2(56),CCO[O]_m2,geoms/CCO_b_O_d__m2.xyz
C2H4(32),C=C_m1,geoms/C=C_m1.xyz
C2H4(50),[CH]C_m1,geoms/_b_CH_d_C_m1.xyz
C3H6(43),C=CC_m1,geoms/C=CC_m1.xyz
H2(12),[H][H]_m1,geoms/_b_H_d__b_H_d__m1.xyz
H2O2(17),OO_m1,geoms/OO_m1.xyz
CH3O2H(54),COO_m1,geoms/COO_m1.xyz
OH(11),[OH]_m2,geoms/_b_OH_d__m2.xyz
O(10),[O]_m3,geoms/_b_O_d__m3.xyz
H2O(13),O_m1,geoms/O_m1.xyz
C3H7(39),[CH2]CC_m2,geoms/_b_CH2_d_CC_m2.xyz
CH3O(29),C[O]_m2,geoms/C_b_O_d__m2.xyz
C3H7O2(82),CCCO[O]_m2,geoms/CCCO_b_O_d__m2.xyz
CH2OH(34),[CH2]O_m2,geoms/_b_CH2_d_O_m2.xyz
CH2O2(42),[CH2]O[O]_m3,geoms/_b_CH2_d_O_b_O_d__m3.xyz
C1OO1(152),C1OO1_m1,geoms/C1OO1_m1.xyz
CH2O2(173),[O]C[O]_m3,geoms/_b_O_d_C_b_O_d__m3.xyz
CH2O(23),C=O_m1,geoms/C=O_m1.xyz
S(124),[CH2]CCOO_m2,geoms/_b_CH2_d_CCOO_m2.xyz
CHO2(177),[O]C=O_m2,geoms/_b_O_d_C=O_m2.xyz
CO2(19),O=C=O_m1,geoms/O=C=O_m1.xyz
HCO(20),[CH]=O_m2,geoms/_b_CH_d_=O_m2.xyz
CHO3(250),[O]OC=O_m2,geoms/_b_O_d_OC=O_m2.xyz
CO(18),[C-]#[O+]_m1,geoms/_b_C-_d__t__b_O+_d__m1.xyz
S(221),[O]OCCCOO_m2,geoms/_b_O_d_OCCCOO_m2.xyz
C3H6O(200),CC1CO1_m1,geoms/CC1CO1_m1.xyz
C3H6(93),C[C]C_m1,geoms/C_b_C_d_C_m1.xyz
C2H3(31),[CH]=C_m2,geoms/_b_CH_d_=C_m2.xyz
S(458),C=CO[O]_m2,geoms/C=CO_b_O_d__m2.xyz
CH2CHO(36),[CH2]C=O_m2,geoms/_b_CH2_d_C=O_m2.xyz
S(431),[O]CCCO[O]_m3,geoms/_b_O_d_CCCO_b_O_d__m3.xyz
S(496),[O]CCC=O_m2,geoms/_b_O_d_CCC=O_m2.xyz
S(495),[CH2]OCC=O_m2,geoms/_b_CH2_d_OCC=O_m2.xyz
C2H4O2(72),[CH2]CO[O]_m3,geoms/_b_CH2_d_CO_b_O_d__m3.xyz
S(570),[O][CH]CCC=O_m3,geoms/_b_O_d__b_CH_d_CCC=O_m3.xyz
S(383),[O]OCC=O_m2,geoms/_b_O_d_OCC=O_m2.xyz
O2(S)(579),O=O_m1,geoms/O=O_m1.xyz
S(564),[CH2]C([O])CC=O_m3,geoms/_b_CH2_d_C_p__b_O_d__q_CC=O_m3.xyz
CH3CO(35),C[C]=O_m2,geoms/C_b_C_d_=O_m2.xyz
S(563),[CH2][CH]OCC=O_m3,geoms/_b_CH2_d__b_CH_d_OCC=O_m3.xyz
C2H5O(113),[CH2]CO_m2,geoms/_b_CH2_d_CO_m2.xyz
S(168),[O]OCCO_m2,geoms/_b_O_d_OCCO_m2.xyz
C2H6O2(58),CCOO_m1,geoms/CCOO_m1.xyz
C2H5O(73),CC[O]_m2,geoms/CC_b_O_d__m2.xyz
