reaction_id,r_idx_h,r_idx_a,p_idx_h,p_idx_a
C=C[O]_m2>>C[C]=O_m2,5,0,5,1
C[CH]C_m2>>[CH2]CC_m2,6,1,6,0
CC=CO_m1>>CCC=O_m1,9,1,8,3
[CH2]O_m2>>C[O]_m2,4,0,4,1
C=CO_m1>>CC=O_m1,6,0,5,2
C[CH]C[O]_m3>>CCC=O_m1,9,1,8,2
CC[O]_m2>>[CH2]CO_m2,5,2,7,0
C[CH]C[O]_m3>>CC=CO_m1,9,4,9,2
C[CH]C[O]_m3>>C=CCO_m1,7,4,9,0
[CH2][O]_m3>>C=O_m1,4,3,4,1
CCCO[O]_m2>>[CH2]CCOO_m2,7,4,11,0
[CH]C_m1>>C=C_m1,5,0,3,1
[O]CO[O]_m3>>O=COO_m1,5,3,5,1
O[CH]CO_m2>>[O]CCO_m2,5,1,5,0
O[CH]CO_m2>>[O]CCO_m2,5,1,5,0
O[CH]CO_m2>>[O]CCO_m2,5,1,5,0
[CH]C=O_m3>>C=C=O_m1,4,0,4,1
[O]CCO_m2>>O[CH]CO_m2,5,0,5,1
[CH2]C[CH2]_m3>>C=CC_m1,8,4,8,1
[O]C=O_m2>>O=[C]O_m2,3,2,3,1
C[C]C_m1>>C=CC_m1,5,1,5,0
[CH2]C[C]=O_m3>>C=CC=O_m1,7,4,7,1
O=O_m1>>[O][O]_m3,2,1,2,1
