species_id,path
C_m1,geoms/C_m1.xyz
O_m1,geoms/O_m1.xyz
CC_m1,geoms/CC_m1.xyz
CO_m1,geoms/CO_m1.xyz
OO_m1,geoms/OO_m1.xyz
C#C_m1,geoms/C_t_C_m1.xyz
C=C_m1,geoms/C=C_m1.xyz
C=O_m1,geoms/C=O_m1.xyz
CCC_m1,geoms/CCC_m1.xyz
COO_m1,geoms/COO_m1.xyz
O=O_m1,geoms/O=O_m1.xyz
[H]_m2,geoms/_b_H_d__m2.xyz
[O]_m3,geoms/_b_O_d__m3.xyz
C=CC_m1,geoms/C=CC_m1.xyz
C=CO_m1,geoms/C=CO_m1.xyz
CC=O_m1,geoms/CC=O_m1.xyz
CCOO_m1,geoms/CCOO_m1.xyz
C[O]_m2,geoms/C_b_O_d__m2.xyz
[CH]_m2,geoms/_b_CH_d__m2.xyz
[OH]_m2,geoms/_b_OH_d__m2.xyz
[O]O_m2,geoms/_b_O_d_O_m2.xyz
C1OO1_m1,geoms/C1OO1_m1.xyz
C=C=O_m1,geoms/C=C=O_m1.xyz
C=CCO_m1,geoms/C=CCO_m1.xyz
CC=CO_m1,geoms/CC=CO_m1.xyz
CCC=O_m1,geoms/CCC=O_m1.xyz
CC[O]_m2,geoms/CC_b_O_d__m2.xyz
CO[O]_m2,geoms/CO_b_O_d__m2.xyz
C[C]C_m1,geoms/C_b_C_d_C_m1.xyz
O=C=O_m1,geoms/O=C=O_m1.xyz
O=CCO_m1,geoms/O=CCO_m1.xyz
O=COO_m1,geoms/O=COO_m1.xyz
OCCOO_m1,geoms/OCCOO_m1.xyz
[CH2]_m1,geoms/_b_CH2_d__m1.xyz
[CH2]_m3,geoms/_b_CH2_d__m3.xyz
[CH3]_m2,geoms/_b_CH3_d__m2.xyz
[CH]C_m1,geoms/_b_CH_d_C_m1.xyz
C#C[O]_m2,geoms/C_t_C_b_O_d__m2.xyz
C1=CO1_m1,geoms/C1=CO1_m1.xyz
C=CC=O_m1,geoms/C=CC=O_m1.xyz
C=C[O]_m2,geoms/C=C_b_O_d__m2.xyz
CC1CO1_m1,geoms/CC1CO1_m1.xyz
CCO[O]_m2,geoms/CCO_b_O_d__m2.xyz
C[CH2]_m2,geoms/C_b_CH2_d__m2.xyz
C[CH]C_m2,geoms/C_b_CH_d_C_m2.xyz
C[C]=O_m2,geoms/C_b_C_d_=O_m2.xyz
O=CC=O_m1,geoms/O=CC=O_m1.xyz
O=[C]O_m2,geoms/O=_b_C_d_O_m2.xyz
[CH2]O_m2,geoms/_b_CH2_d_O_m2.xyz
[CH]=C_m2,geoms/_b_CH_d_=C_m2.xyz
[CH]=O_m2,geoms/_b_CH_d_=O_m2.xyz
[H][H]_m1,geoms/_b_H_d__b_H_d__m1.xyz
[O]C=O_m2,geoms/_b_O_d_C=O_m2.xyz
[O]CCO_m2,geoms/_b_O_d_CCO_m2.xyz
[O][O]_m3,geoms/_b_O_d__b_O_d__m3.xyz
C=CO[O]_m2,geoms/C=CO_b_O_d__m2.xyz
CC1C=C1_m1,geoms/CC1C=C1_m1.xyz
CC1CC1O_m1,geoms/CC1CC1O_m1.xyz
CCCO[O]_m2,geoms/CCCO_b_O_d__m2.xyz
CC[C]=O_m2,geoms/CC_b_C_d_=O_m2.xyz
C[CH]CO_m2,geoms/C_b_CH_d_CO_m2.xyz
O=C1CC1_m1,geoms/O=C1CC1_m1.xyz
O=C1OO1_m1,geoms/O=C1OO1_m1.xyz
O[CH]CO_m2,geoms/O_b_CH_d_CO_m2.xyz
[CH2]CC_m2,geoms/_b_CH2_d_CC_m2.xyz
[CH2]CO_m2,geoms/_b_CH2_d_CO_m2.xyz
[CH]C=O_m3,geoms/_b_CH_d_C=O_m3.xyz
[O]C=CO_m2,geoms/_b_O_d_C=CO_m2.xyz
[O]C[O]_m3,geoms/_b_O_d_C_b_O_d__m3.xyz
[O]OC=O_m2,geoms/_b_O_d_OC=O_m2.xyz
[O]OCCO_m2,geoms/_b_O_d_OCCO_m2.xyz
C=C1OC1C_m1,geoms/C=C1OC1C_m1.xyz
C=C[CH]O_m2,geoms/C=C_b_CH_d_O_m2.xyz
C=C[C]=O_m2,geoms/C=C_b_C_d_=O_m2.xyz
CC1CC1=O_m1,geoms/CC1CC1=O_m1.xyz
CC1OC1=O_m1,geoms/CC1OC1=O_m1.xyz
CC[CH]OC_m2,geoms/CC_b_CH_d_OC_m2.xyz
O=C1COO1_m1,geoms/O=C1COO1_m1.xyz
[CH2][O]_m3,geoms/_b_CH2_d__b_O_d__m3.xyz
[O]C=C=O_m2,geoms/_b_O_d_C=C=O_m2.xyz
[O]CCC=O_m2,geoms/_b_O_d_CCC=O_m2.xyz
[O]CO[O]_m3,geoms/_b_O_d_CO_b_O_d__m3.xyz
[O]OCC=O_m2,geoms/_b_O_d_OCC=O_m2.xyz
