reaction_id,q1h_idx,q2_idx,q1_idx,q2h_idx
[O]O_m2.[H]_m2>>[O][O]_m3.[H][H]_m1,2,0,1,1
[H][H]_m1.[O]_m3>>[H]_m2.[OH]_m2,1,0,0,1
[H][H]_m1.[O]_m3>>[H]_m2.[OH]_m2,1,0,0,1
[O]O_m2.[O]_m3>>[O][O]_m3.[OH]_m2,2,0,1,1
O_m1.[H]_m2>>[OH]_m2.[H][H]_m1,2,0,0,1
O_m1.[O]_m3>>[OH]_m2.[OH]_m2,2,0,0,1
[O]O_m2.[OH]_m2>>[O][O]_m3.O_m1,2,0,1,2
[O]O_m2.[OH]_m2>>[O][O]_m3.O_m1,2,0,1,2
[CH]=O_m2.[H]_m2>>[C-]#[O+]_m1.[H][H]_m1,1,0,0,1
[CH]=O_m2.[O]_m3>>[C-]#[O+]_m1.[OH]_m2,1,0,0,1
[CH]=O_m2.[OH]_m2>>[C-]#[O+]_m1.O_m1,1,0,0,2
[CH]=O_m2.[O][O]_m3>>[C-]#[O+]_m1.[O]O_m2,1,1,0,2
[O]O_m2.[O]O_m2>>[O][O]_m3.OO_m1,2,0,1,2
[O]O_m2.[O]O_m2>>[O][O]_m3.OO_m1,2,0,1,2
OO_m1.[H]_m2>>[O]O_m2.[H][H]_m1,2,0,0,1
OO_m1.[O]_m3>>[O]O_m2.[OH]_m2,2,0,0,1
OO_m1.[OH]_m2>>[O]O_m2.O_m1,2,0,0,2
OO_m1.[OH]_m2>>[O]O_m2.O_m1,2,0,0,2
O=[C]O_m2.[H]_m2>>O=C=O_m1.[H][H]_m1,3,0,2,1
O=[C]O_m2.[O][O]_m3>>O=C=O_m1.[O]O_m2,3,1,2,2
O=[C]O_m2.[OH]_m2>>O=C=O_m1.O_m1,3,0,2,2
O=[C]O_m2.[O]_m3>>O=C=O_m1.[OH]_m2,3,0,2,1
O=[C]O_m2.[O]O_m2>>O=C=O_m1.OO_m1,3,0,2,2
[O]C=O_m2.[H]_m2>>O=C=O_m1.[H][H]_m1,3,0,1,1
[O]C=O_m2.[O][O]_m3>>O=C=O_m1.[O]O_m2,3,1,1,2
[O]C=O_m2.[OH]_m2>>O=C=O_m1.O_m1,3,0,1,2
[O]C=O_m2.[O]_m3>>O=C=O_m1.[OH]_m2,3,0,1,1
[O]C=O_m2.[O]O_m2>>O=C=O_m1.OO_m1,3,0,1,2
O=C(O)O_m1.[OH]_m2>>[O]C(=O)O_m2.O_m1,4,0,2,2
[O]O_m2.[O]C(=O)O_m2>>[O][O]_m3.O=C(O)O_m1,2,2,1,4
OO_m1.[O]C(=O)O_m2>>[O]O_m2.O=C(O)O_m1,2,2,0,4
[O]C=O_m2.[O]C(=O)O_m2>>O=C=O_m1.O=C(O)O_m1,3,2,1,4
O=[C]O_m2.[O]C(=O)O_m2>>O=C=O_m1.O=C(O)O_m1,3,2,2,4
[O]O_m2.O=C=O_m1>>[O][O]_m3.O=[C]O_m2,2,2,1,3
O=[C]O_m2.[O]_m3>>O=C=O_m1.[OH]_m2,3,0,2,1
O_m1.[C-]#[O+]_m1>>[OH]_m2.[CH]=O_m2,2,0,0,1
